Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,URL,WikiWordCount,external_urls,followers,genres,popularity
29,10.83471074,Brian Hyland,Sealed With A Kiss,1962,3465190,https://en.wikipedia.org/wiki/Brian_Hyland,1193.0,https://open.spotify.com/artist/6YROFUbu5zRCHi2xkir5pk,8485.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|folk rock|merseybeat|rock-and-roll|rockabilly,50.0
20,13.84586851,Roy Orbison,Only The Lonely,1960,15956833,https://en.wikipedia.org/wiki/Roy_Orbison,8655.0,https://open.spotify.com/artist/0JDkhL4rjiPNEp92jAgJnS,303004.0,adult standards|brill building pop|christmas|classic rock|folk christmas|folk rock|mellow gold|motown|rock|rock-and-roll|rockabilly|roots rock|singer-songwriter|soft rock|soul,71.0
4,40.05349388,Roy Orbison,Crying,1961,10605581,https://en.wikipedia.org/wiki/Roy_Orbison,8655.0,https://open.spotify.com/artist/0JDkhL4rjiPNEp92jAgJnS,303004.0,adult standards|brill building pop|christmas|classic rock|folk christmas|folk rock|mellow gold|motown|rock|rock-and-roll|rockabilly|roots rock|singer-songwriter|soft rock|soul,71.0
13,18.39913422,Roy Orbison,Running Scared,1961,2391967,https://en.wikipedia.org/wiki/Roy_Orbison,8655.0,https://open.spotify.com/artist/0JDkhL4rjiPNEp92jAgJnS,303004.0,adult standards|brill building pop|christmas|classic rock|folk christmas|folk rock|mellow gold|motown|rock|rock-and-roll|rockabilly|roots rock|singer-songwriter|soft rock|soul,71.0
65,6.360293906,Roy Orbison,Dream Baby (How Long Must I Dream),1962,1882078,https://en.wikipedia.org/wiki/Roy_Orbison,8655.0,https://open.spotify.com/artist/0JDkhL4rjiPNEp92jAgJnS,303004.0,adult standards|brill building pop|christmas|classic rock|folk christmas|folk rock|mellow gold|motown|rock|rock-and-roll|rockabilly|roots rock|singer-songwriter|soft rock|soul,71.0
46,7.990608097999999,Roy Orbison,Mean Woman Blues,1963,709991,https://en.wikipedia.org/wiki/Roy_Orbison,8655.0,https://open.spotify.com/artist/0JDkhL4rjiPNEp92jAgJnS,303004.0,adult standards|brill building pop|christmas|classic rock|folk christmas|folk rock|mellow gold|motown|rock|rock-and-roll|rockabilly|roots rock|singer-songwriter|soft rock|soul,71.0
59,6.780124557000001,Roy Orbison,In Dreams,1963,11402194,https://en.wikipedia.org/wiki/Roy_Orbison,8655.0,https://open.spotify.com/artist/0JDkhL4rjiPNEp92jAgJnS,303004.0,adult standards|brill building pop|christmas|classic rock|folk christmas|folk rock|mellow gold|motown|rock|rock-and-roll|rockabilly|roots rock|singer-songwriter|soft rock|soul,71.0
4,40.05349388,Roy Orbison,"Oh, Pretty Woman",1964,61232906,https://en.wikipedia.org/wiki/Roy_Orbison,8655.0,https://open.spotify.com/artist/0JDkhL4rjiPNEp92jAgJnS,303004.0,adult standards|brill building pop|christmas|classic rock|folk christmas|folk rock|mellow gold|motown|rock|rock-and-roll|rockabilly|roots rock|singer-songwriter|soft rock|soul,71.0
73,5.8912426689999995,Roy Orbison,It's Over,1964,1783252,https://en.wikipedia.org/wiki/Roy_Orbison,8655.0,https://open.spotify.com/artist/0JDkhL4rjiPNEp92jAgJnS,303004.0,adult standards|brill building pop|christmas|classic rock|folk christmas|folk rock|mellow gold|motown|rock|rock-and-roll|rockabilly|roots rock|singer-songwriter|soft rock|soul,71.0
21,13.40711287,Dion and The Belmonts,Where Or When,1960,799005,https://en.wikipedia.org/wiki/Dion_and_the_Belmonts,1659.0,https://open.spotify.com/artist/2loYllWFfoWpoxC5YrJKc4,39253.0,adult standards|brill building pop|christmas|doo-wop|rock-and-roll|rockabilly,59.0
