Artist,Title,URL
Del Shannon,Little Town Flirt,https://en.wikipedia.org/wiki/Little_Town_Flirt
Del Shannon,Keep Searchin' (We'll Follow the Sun),https://en.wikipedia.org/wiki/Keep_Searchin%27_(We%27ll_Follow_the_Sun)
The Jive Five,My True Story,https://en.wikipedia.org/wiki/My_True_Story
The String-A-Longs,Wheels,https://en.wikipedia.org/wiki/Wheels_(The_String-A-Longs_song)
Dee Clark,Raindrops,https://en.wikipedia.org/wiki/Raindrops_(Dee_Clark_song)
Joe Dowell,Wooden Heart,https://en.wikipedia.org/wiki/Wooden_Heart
Lawrence Welk,Calcutta,https://en.wikipedia.org/wiki/Calcutta_(song)
The Shirelles,Dedicated To The One I Love,https://en.wikipedia.org/wiki/Dedicated_to_the_One_I_Love
The Shirelles,Will You Love Me Tomorrow,https://en.wikipedia.org/wiki/Will_You_Love_Me_Tomorrow
The Shirelles,Mama Said,https://en.wikipedia.org/wiki/Mama_Said_(The_Shirelles_song)
The Shirelles,Soldier Boy,https://en.wikipedia.org/wiki/Soldier_Boy_(song)
The Shirelles,Baby It's You,https://en.wikipedia.org/wiki/Baby_It%27s_You
The Shirelles,Foolish Little Girl,https://en.wikipedia.org/wiki/Foolish_Little_Girl
The Mar-Keys,Last Night,https://en.wikipedia.org/wiki/Last_Night_(Mar-Keys_composition)
Sue Thompson,Sad Movies (Make Me Cry),https://en.wikipedia.org/wiki/Sad_Movies_(Make_Me_Cry)
Sue Thompson,Norman,https://en.wikipedia.org/wiki/Norman_(song)
Ernie K-Doe,Mother-In-Law,https://en.wikipedia.org/wiki/Mother-in-law_joke
The Dovells,Bristol Stomp,https://en.wikipedia.org/wiki/Bristol_Stomp
The Dovells,You Can't Sit Down,https://en.wikipedia.org/wiki/You_Can%27t_Sit_Down
The Miracles,Shop Around,https://en.wikipedia.org/wiki/Shop_Around
The Miracles,You've Really Got a Hold on Me,https://en.wikipedia.org/wiki/You%27ve_Really_Got_a_Hold_on_Me
The Miracles,Mickey's Monkey,https://en.wikipedia.org/wiki/The_Miracles_Doin%27_Mickey%27s_Monkey
The Miracles,The Tracks of My Tears,https://en.wikipedia.org/wiki/The_Tracks_of_My_Tears
The Miracles,Ooo Baby Baby,https://en.wikipedia.org/wiki/Ooo_Baby_Baby
Gene Mcdaniels,A Hundred Pounds Of Clay,https://en.wikipedia.org/wiki/A_Hundred_Pounds_of_Clay
