Artist,URL,WikiWordCount
Tom Jones,https://en.wikipedia.org/wiki/Tom_Jones_(singer),4563
Barry McGuire,https://en.wikipedia.org/wiki/Barry_McGuire,1344
The McCoys,https://en.wikipedia.org/wiki/The_McCoys,499
James Brown,https://en.wikipedia.org/wiki/James_Brown,12563
Wayne Fontana and The Mindbenders,https://en.wikipedia.org/wiki/Wayne_Fontana,522
Shirley Ellis,https://en.wikipedia.org/wiki/Shirley_Ellis,392
Patti Page,https://en.wikipedia.org/wiki/Patti_Page,3693
Bob Dylan,https://en.wikipedia.org/wiki/Bob_Dylan,16836
Freddie and the Dreamers,https://en.wikipedia.org/wiki/Freddie_and_the_Dreamers,1498
Horst Jankowski,https://en.wikipedia.org/wiki/Horst_Jankowski,500
The Yardbirds,https://en.wikipedia.org/wiki/The_Yardbirds,5123
The Moody Blues,https://en.wikipedia.org/wiki/The_Moody_Blues,8184
Shirley Bassey,https://en.wikipedia.org/wiki/Shirley_Bassey,4467
Billy Joe Royal,https://en.wikipedia.org/wiki/Billy_Joe_Royal,533
Glenn Yarbrough,https://en.wikipedia.org/wiki/Glenn_Yarbrough,748
The Beau Brummels,https://en.wikipedia.org/wiki/The_Beau_Brummels,2880
Ian Whitcomb,https://en.wikipedia.org/wiki/Ian_Whitcomb,1777
Jackie DeShannon,https://en.wikipedia.org/wiki/Jackie_DeShannon,2242
Sir Douglas Quintet,https://en.wikipedia.org/wiki/Sir_Douglas_Quintet,1932
The Turtles,https://en.wikipedia.org/wiki/The_Turtles,2031
The Zombies,https://en.wikipedia.org/wiki/The_Zombies,2742
Vic Dana,https://en.wikipedia.org/wiki/Vic_Dana,302
Patty Duke,https://en.wikipedia.org/wiki/Patty_Duke,2413
The Fortunes,https://en.wikipedia.org/wiki/The_Fortunes,1525
Joe Tex,https://en.wikipedia.org/wiki/Joe_Tex,2114
The Lovin' Spoonful,https://en.wikipedia.org/wiki/The_Lovin%27_Spoonful,2804
Cher,https://en.wikipedia.org/wiki/Cher,12655
Little Anthony and the Imperials,https://en.wikipedia.org/wiki/Little_Anthony_and_the_Imperials,2557
The Strangeloves,https://en.wikipedia.org/wiki/The_Strangeloves,1062
Sonny,https://en.wikipedia.org/wiki/Sonny,741
Roy Head,https://en.wikipedia.org/wiki/Roy_Head,2269
Jack Jones,https://en.wikipedia.org/wiki/Jack_Jones_(singer),1803
"Dino, Desi and Billy","https://en.wikipedia.org/wiki/Dino,_Desi_%26_Billy",915
The Ad Libs,https://en.wikipedia.org/wiki/The_Ad_Libs,274
SSgt Barry Sadler,https://en.wikipedia.org/wiki/Barry_Sadler,1513
The Association,https://en.wikipedia.org/wiki/The_Association,3791
? and the Mysterians,https://en.wikipedia.org/wiki/%3F_and_the_Mysterians,1979
The Monkees,https://en.wikipedia.org/wiki/The_Monkees,18620
The Mamas and The Papas,https://en.wikipedia.org/wiki/The_Mamas_%26_the_Papas,5544
Roger Williams,https://en.wikipedia.org/wiki/Roger_Williams,5121
Nancy Sinatra,https://en.wikipedia.org/wiki/Nancy_Sinatra,2938
Jimmy Ruffin,https://en.wikipedia.org/wiki/Jimmy_Ruffin,1201
Frank Sinatra,https://en.wikipedia.org/wiki/Frank_Sinatra,15799
The Young Rascals,https://en.wikipedia.org/wiki/The_Rascals,2093
The New Vaudeville Band,https://en.wikipedia.org/wiki/The_New_Vaudeville_Band,415
Tommy James and The Shondells,https://en.wikipedia.org/wiki/Tommy_James_and_the_Shondells,1401
Percy Sledge,https://en.wikipedia.org/wiki/Percy_Sledge,1092
The Troggs,https://en.wikipedia.org/wiki/The_Troggs,1786
Paul Revere and The Raiders,https://en.wikipedia.org/wiki/Paul_Revere_%26_the_Raiders,4169
Donovan,https://en.wikipedia.org/wiki/Donovan,6108
Bobby Hebb,https://en.wikipedia.org/wiki/Bobby_Hebb,673
The Happenings,https://en.wikipedia.org/wiki/The_Happenings,550
Mitch Ryder and the Detroit Wheels,https://en.wikipedia.org/wiki/Mitch_Ryder,827
The Mindbenders,https://en.wikipedia.org/wiki/The_Mindbenders,978
The Capitols,https://en.wikipedia.org/wiki/The_Capitols,879
Sandy Posey,https://en.wikipedia.org/wiki/Sandy_Posey,936
