,Rank,RankPowerlaw,Artist_x,Title,Year,SpotifyPlayCount,WikiWordCount,Yeargetawards,Awards,Artist_y,Awardscore
1028,92,5.057082445,The Originals,Baby I'm For Real,1969,2063514,4253,,,,
444,38,9.064478563,Barbara Lewis,Baby I'm Yours,1965,1960486,703,,,,
206,44,8.228510611,The Shirelles,Baby It's You,1962,1378449,2186,,,,
1000,34,9.754924552,Smith,Baby It's You,1969,2775811,465,,,,
511,33,9.949031357,The Supremes,Baby Love,1964,44450809,5042,,,,
815,92,5.057082445,Slim Harpo,Baby Scratch My Back,1966,387232,1856,,,,
267,67,6.234342105,Buzz Clifford,Baby Sittin' Boogie,1961,91330,544,,,,
692,53,7.277428145,Glenn Yarbrough,Baby the Rain Must Fall,1965,115695,748,,,,
110,71,6.000251993,Jackie Wilson,Baby Workout,1963,563065,4542,,,,
971,37,9.225435188,Smokey Robinson and The Miracles,"Baby, Baby Don't Cry",1969,979415,5609,,,,
999,28,11.08857401,Andy Kim,"Baby, I Love You",1969,1554,1004,,,,
967,83,5.412631479,The Foundations,"Baby, Now That I've Found You",1968,1241259,3982,,,,
513,37,9.225435188,The Supremes,Back in My Arms Again,1965,2866058,5042,,,,
978,24,12.27610461,Creedence Clearwater Revival,Bad Moon Rising,1969,115917311,4772,,,,
528,97,4.883493965,Billy J. Kramer and The Dakotas,Bad to Me,1964,1302962,1328,,,,
722,1,100,SSgt Barry Sadler,Ballad of the Green Berets,1966,956352,1513,,,,
714,60,6.705330284,Cher,Bang Bang (My Baby Shot Me Down),1966,1284773,12651,,,,
391,79,5.59198657,The Beach Boys,Barbara Ann,1966,11933298,15103,,,,
789,58,6.857053284,Robert Parker,Barefootin',1966,711657,215,,,,
445,45,8.107365283,The Ronettes,Be My Baby,1963,56249804,4527,,,,
180,90,5.130975533,Johnny and The Hurricanes,Beatnik Fly,1960,6058,708,,,,
592,65,6.360293906,The Temptations,Beauty Is Only Skin Deep,1966,2352110,9519,,,,
532,63,6.49284802,The Dave Clark Five,Because,1964,233636,1911,,,,
113,37,9.225435188,Duane Eddy,Because They're Young,1960,293238,1636,,,,
980,98,4.850547815,The American Breed,"Bend Me, Shape Me",1968,849143,945,,,,
625,82,5.456106733,Four Tops,Bernadette,1967,2636926,3598,,,,
98,32,10.15315495,Bobby Darin,Beyond The Sea,1960,25328489,3031,,,,
814,89,5.168953147,Los Bravos,Black Is Black,1966,5988974,562,,,,
1012,66,6.296526022,"Sonny Charles and The Checkmates, Ltd.",Black Pearl,1969,145877,229,,,,
430,30,10.59497587,Eydie Gorme,Blame It On The Bossa Nova,1963,91784,1750,,,,
271,73,5.891242669,Tony Orlando,Bless You,1961,73268,2129,,,,
234,40,8.762749681,Marcels,Blue Moon,1961,6629781,302,,,,
288,52,7.369496097,Bobby Vinton,Blue on Blue,1963,862958,1732,,,,
287,6,30.6492728,Bobby Vinton,Blue Velvet,1963,8522784,1732,,,,
770,37,9.225435188,Sandy Posey,Born a Woman,1966,7920,936,,,,
735,12,19.39725958,Roger Williams,Born Free,1966,67131,5121,,,,
934,31,10.36815025,Steppenwolf,Born To Be Wild,1968,75422669,2216,,,,
31,95,4.951108236,Elvis Presley,Bossa Nova Baby,1963,1003366,19509,,,,
959,63,6.49284802,The Fireballs,Bottle Of Wine,1968,239392,673,,,,
535,26,11.64441273,The Newbeats,Bread and Butter,1964,469577,566,,,,
17,26,11.64441273,Brenda Lee,Break It To Me Gently,1962,1564747,2547,,,,
48,80,5.545754095,Connie Francis,Breakin' In A Brand New Broken Heart,1961,184122,4607,,,,
157,15,16.74093727,Neil Sedaka,Breaking Up Is Hard To Do,1962,6350083,7962,,,,
212,22,13.00172664,The Dovells,Bristol Stomp,1961,310096,591,,,,
861,35,9.570069478,Van Morrison,Brown Eyed Girl,1967,179465009,11331,,,,
968,9,23.45308318,The Foundations,Build Me Up Buttercup,1969,28832177,3982,,,,
58,35,9.570069478,Jack Scott,Burning Bridges,1960,123257,551,,,,
775,45,8.107365283,The Hollies,Bus Stop,1966,14087286,5105,,,,
972,86,5.287264321,The Mills Brothers,Cab Driver,1968,258073,1761,,,,
201,11,20.54380234,Lawrence Welk,Calcutta,1961,220024,3370,,,,
156,33,9.949031357,Neil Sedaka,Calendar Girl,1961,6665463,7962,,,,
733,10,21.87761624,The Mamas and The Papas,California Dreamin',1966,86019253,5544,,,,
388,49,7.664266318,The Beach Boys,California Girls,1965,15339865,15103,,,,
414,61,6.632577127,Lesley Gore,California Nights,1967,187214,1455,,,,
1010,62,6.561777272,Tyrone Davis,Can I Change My Mind,1969,1826388,700,,,,
448,50,7.562750921,The Four Seasons,Candy Girl,1963,1216330,4256,,,,
487,52,7.369496097,The Beatles,Can't Buy Me Love,1964,26066160,14112,,,,
135,11,20.54380234,Andy Williams,Can't Get Used To Losing You,1963,2633306,3980,,,,
29,57,6.936215781,Elvis Presley,Can't Help Falling In Love,1962,105024049,19509,,,,
830,10,21.87761624,Frankie Valli,Can't Take My Eyes Off You,1967,34519703,2457,,,,
644,8,25.34898699,Herman's Hermits,Can't You Hear My Heartbeat,1965,594503,2048,,,,
533,67,6.234342105,The Dave Clark Five,Can't You See That She's Mine,1964,5883,1911,,,,
318,24,12.27610461,Jay and The Americans,Cara Mia,1965,801564,978,,,,
777,64,6.425711417,The Hollies,Carrie Ann,1967,5012889,5105,,,,
2,3,48.42838339,The Everly Brothers,Cathy's Clown,1960,4180758,4114,,,,
91,29,10.83471074,Sam Cooke,Chain Gang,1960,21685399,2895,,,,
530,21,13.40711287,The Dixie Cups,Chapel of Love,1964,6887338,963,,,,
723,2,63.2878297,The Association,Cherish,1966,1293933,3791,,,,
163,79,5.59198657,Skip and Flip,Cherry Pie,1960,21703,429,,,,
799,75,5.787081068,Neil Diamond,"Cherry, Cherry",1966,2762644,5853,,,,
605,82,5.456106733,Roger Miller,Chug-a-Lug,1964,1614734,3536,,,,
357,69,6.114481004,Johnny Crawford,Cindy's Birthday,1962,97730,1048,,,,
890,71,6.000251993,Peaches and Herb,Close Your Eyes,1967,334016,1567,,,,
573,54,7.188199443,Bobby Freeman,C'mon and Swim,1964,14701,581,,,,
892,77,5.687430745,James Brown and The Famous Flames,Cold Sweat,1967,3386760,3416,,,,
317,29,10.83471074,Jay and The Americans,Come a Little Bit Closer,1964,14422507,978,,,,
