Year,Awards,Title,Artist
1974,Best Soul Gospel Performance,In The Ghetto,James Cleveland
1974,"Best Country Vocal Performance, Female",Love Song,Anne Murray
1974,"Best Country Vocal Performance, Male",Please Don't Tell Me How The Story Ends,Ronnie Milsap
1974,Best Country Vocal Performance By A Duo Or Group,Fairytale,Pointer Sisters
1974,Best Country Instrumental Performance,The Atkins-Travis Traveling Show,Chet Atkins
1974,Best Country Song,A Very Special Love Song,Billy Sherrill
1974,Best Inspirational Performance (Non-Classical),How Great Thou Art,Elvis Presley
1974,Best Gospel Performance (Other Than Soul Gospel),The Baptism Of Jesse Taylor,Oak Ridge Boys
1974,Best Ethnic Or Traditional Recording,Two Days In November,Doc Watson
1974,Best Recording For Children,Winnie The Pooh And Tigger Too,Paul Winchell
1974,Best Comedy Recording,That Nigger's Crazy,Richard Pryor
1974,Best Spoken Word Recording,Good Evening,Dudley Moore
1974,Best Instrumental Composition,Tubular Bells - Theme From The Exorcist,Mike Oldfield
1974,Best Classical Performance - Orchestra,Berlioz: Symphonie Fantastique,Georg Solti
1974,Best Opera Recording,Puccini: La Boheme,Georg Solti
1974,"Best Choral Performance, Classical (Other Than Opera)",Berlioz: The Damnation Of Faust,Colin Davis
1974,Best Chamber Music Performance,Brahms: Trios (Complete)/Schumann: Trio No. 1 In D Minor,Artur Rubinstein
1974,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),Shostakovich: Violin Concerto No. 1,David Oistrakh
1974,Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra),Albeniz: Iberia,Alicia De Larrocha
1974,Best Classical Vocal Soloist Performance,Leontyne Price Sings Richard Strauss,Leontyne Price
1974,Best Engineered Recording - Classical,Berlioz: Symphonie Fantastique,Kenneth Wilkinson
1973,Record Of The Year,Killing Me Softly With His Song,Roberta Flack
1973,Song Of The Year,Killing Me Softly With His Song,Charles Fox
1973,Best Instrumental Arrangement,Summer In The City,Quincy Jones
1973,Best Arrangement Accompanying Vocalist(s),Live And Let Die,George Martin
1973,Best Engineered Recording - Non-Classical,Innervisions,Malcolm Cecil
1973,Best Jazz Performance By A Soloist,God Is In The House,Art Tatum
1973,Best Jazz Performance By A Group,Supersax Plays Bird,Supersax
1973,Best Jazz Performance By A Big Band,Giant Steps,Woody Herman
1973,"Best Pop Vocal Performance, Female",Killing Me Softly With His Song,Roberta Flack
1973,"Best Pop Vocal Performance, Male",You Are The Sunshine Of My Life,Stevie Wonder
1973,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight And The Pips
1973,Best Pop Instrumental Performance,Also Sprach Zarathustra (2001),Eumir Deodato
1973,"Best R&B Vocal Performance, Female",Master Of Eyes,Aretha Franklin
1973,"Best R&B Vocal Performance, Male",Superstition,Stevie Wonder
1973,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Midnight Train To Georgia,Gladys Knight And The Pips
1973,Best R&B Instrumental Performance,Hang On Sloopy,Ramsey Lewis
1973,Best Rhythm & Blues Song,Superstition,Stevie Wonder
1973,Best Soul Gospel Performance,Loves Me Like A Rock,Dixie Hummingbirds
1973,"Best Country Vocal Performance, Female",Let Me Be There,Olivia Newton-John
1973,"Best Country Vocal Performance, Male",Behind Closed Doors,Charlie Rich
1973,Best Country Vocal Performance By A Duo Or Group,From The Bottle To The Bottom,Kris Kristofferson
1973,Best Country Instrumental Performance,Dueling Banjos,Eric Weissberg
1973,Best Country Song,Behind Closed Doors,Kenny O'Dell
1973,Best Inspirational Performance,Let's Just Praise The Lord,Bill Gaither Trio
1973,Best Gospel Performance (Other Than Soul Gospel),Release Me (From My Sin),Blackwood Brothers
1973,Best Ethnic Or Traditional Recording (Including Traditional Blues),Then And Now,Doc Watson
1973,Best Recording For Children,Sesame Street Live,Joe Raposo
1973,Best Comedy Recording,Los Cochinos,Cheech And Chong
1973,Best Spoken Word Recording,Jonathan Livingston Seagull,Richard Harris
1973,Best Instrumental Composition,Last Tango In Paris,Gato Barbieri
1973,Best Classical Performance - Orchestra,Bartók: Concerto For Orchestra,Pierre Boulez
1973,Best Opera Recording,Bizet: Carmen,Leonard Bernstein
1973,"Best Choral Performance, Classical (Other Than Opera)",Walton: Belshazzer's Feast,André Previn
1973,Best Chamber Music Performance,Joplin: The Red Back Book,Gunther Schuller
1973,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),Beethoven: Concerti (5) For Piano And Orchestra,Vladimir Ashkenazy
1973,Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra),Scriabin: Horowitz Plays Scriabin,Vladimir Horowitz
1973,Best Classical Vocal Soloist Performance,Puccini: Heroines,Leontyne Price
1973,Best Engineered Recording - Classical,Bartók: Concerto For Orchestra,Edward
1972,Record Of The Year,The First Time Ever I Saw Your Face,Roberta Flack
1972,Song Of The Year,The First Time Ever I Saw Your Face,Ewan MacColl
1972,Best Instrumental Arrangement,Theme From The French Connection,Don Ellis
1972,Best Arrangement Accompanying Vocalist(s),What Are You Doing The Rest Of Your Life?,Michel Legrand
1972,Best Engineered Recording - Non-Classical,Moods,Armin Steiner
1972,Best Jazz Performance By A Soloist,Alone At Last,Gary Burton
1972,Best Jazz Performance By A Group,First Light,Freddie Hubbard
1972,Best Jazz Performance By A Big Band,Toga Brava Suite,Duke Ellington
1972,"Best Pop Vocal Performance, Female",I Am Woman,Helen Reddy
1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson
1972,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Where Is The Love,Donny Hathaway
1972,"Best Pop Instrumental Performance By An Arranger, Composer, Orchestra And/Or Choral Leader",Outa-Space,Billy Preston
1972,"Best Pop Instrumental Performance By An Arranger, Composer, Orchestra And/Or Choral Leader",Black Moses,Isaac Hayes
1972,"Best R&B Vocal Performance, Female","Young, Gifted And Black",Aretha Franklin
1972,"Best R&B Vocal Performance, Male",Me And Mrs. Jones,Billy Paul
1972,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Papa Was A Rollin' Stone,Temptations
1972,Best R&B Instrumental Performance,Papa Was A Rollin' Stone,Paul Riser
1972,Best Rhythm & Blues Song,Papa Was A Rollin' Stone,Barrett Strong
1972,Best Soul Gospel Performance,Amazing Grace,Aretha Franklin
1972,"Best Country Vocal Performance, Female",Happiest Girl In The Whole USA,Donna Fargo
1972,"Best Country Vocal Performance, Male",Charley Pride Sings Heart Songs,Charley Pride
1972,Best Country Vocal Performance By A Duo Or Group,Class Of '57,Statler Brothers
1972,Best Country Instrumental Performance,Charlie McCoy/The Real McCoy,Charlie McCoy
1972,Best Country Song,Kiss An Angel Good Mornin',Ben Peters
1972,Best Inspirational Performance,He Touched Me,Elvis Presley
1972,Best Gospel Performance (Other Than Soul Gospel),L-O-V-E,Blackwood Brothers
1972,Best Ethnic Or Traditional Recording (Including Traditional Blues),The London Muddy Waters Session,Muddy Waters
1972,Best Recording For Children,The Electric Company,Bill Cosby
1972,Best Comedy Recording,FM And AM,George Carlin
1972,Best Spoken Word Recording,Lenny,Bruce Botnick
1972,Best Instrumental Composition,Brian's Song,Michel Legrand
1972,Best Original Score Written For A Motion Picture Or A Television Special,The Godfather,Nino Rota
1972,Best Classical Performance - Orchestra,Mahler: Symphony No. 7 In E Minor,Georg Solti
1972,Best Opera Recording,Berlioz: Benvenuto Cellini,Colin Davis
1972,"Best Choral Performance, Classical (Other Than Opera)",Mahler: Symphony No. 8 In E Flat (Symphony Of A Thousand),Georg Solti
1972,Best Chamber Music Performance,"Julian And John (Works By Lawes, Carulli, Albeniz, Granados)",John Christopher Williams
1972,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Brahms: Piano Concerto No. 2 In B Flat,Artur Rubinstein
1972,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Horowitz Plays Chopin,Vladimir Horowitz
1972,Best Classical Vocal Soloist Performance,Brahms: Die Schone Magelone,Dietrich Fischer-Dieskau
1972,Best Engineered Recording (Classical),Mahler: Symphony No. 8 (Symphony Of A Thousand),Gordon Parry
1971,Record Of The Year,It's Too Late,Carole King
1971,Song Of The Year,You've Got A Friend,Carole King
1971,Best Instrumental Arrangement,Theme From Shaft,Isaac Hayes
1971,Best Arrangement Accompanying Vocalist(s),Uncle Albert/Admiral Halsey,Paul McCartney
1971,Best Engineered Recording - Non-Classical,Theme From Shaft,Dave Purple
1971,"Best Pop Vocal Performance, Female",Tapestry,Carole King
1971,"Best Pop Vocal Performance, Male",You've Got A Friend,James Taylor
1971,Best Pop Vocal Performance By A Duo Or Group,Carpenters,Carpenters
1971,Best Pop Instrumental Performance,Smackwater Jack,Quincy Jones
1971,"Best R&B Vocal Performance, Female",Bridge Over Troubled Water,Aretha Franklin
1971,"Best R&B Vocal Performance, Male",A Natural Man,Lou Rawls
1971,Best R&B Vocal Performance By A Group,Proud Mary,Ike
1971,Best Rhythm & Blues Song,Ain't No Sunshine,Bill Withers
1971,Best Soul Gospel Performance,Put Your Hand In The Hand Of The Man From Galilee,Shirley Caesar
1971,"Best Country Vocal Performance, Female",Help Me Make It Through The Night,Sammi Smith
1971,"Best Country Vocal Performance, Male","When You're Hot, You're Hot",Jerry Reed
1971,Best Country Vocal Performance By A Duo Or Group,After The Fire Is Gone,Conway Twitty
1971,Best Country Instrumental Performance,Snowbird,Chet Atkins
1971,Best Country Song,Help Me Make It Through The Night,Kris Kristofferson
1971,Best Sacred Performance,Did You Think To Pray,Charley Pride
1971,Best Gospel Performance (Other Than Soul Gospel),Let Me Live,Charley Pride
1971,Best Ethnic Or Traditional Recording,They Call Me Muddy Waters,Muddy Waters
1971,Best Instrumental Composition,Theme From Summer Of '42,Michel Legrand
1971,Best Original Score Written For A Motion Picture Or A Television Special,Shaft,Isaac Hayes
1971,Best Recording For Children,Bill Cosby Talks To Kids About Drugs,Bill Cosby
1971,Best Comedy Recording,This Is A Recording,Lily Tomlin
1971,Best Spoken Word Recording,Desiderata,Les Crane
1971,Best Jazz Performance By A Soloist,The Bill Evans Album,Bill Evans
1971,Best Jazz Performance By A Group,The Bill Evans Album,Bill Evans
1971,Best Jazz Performance By A Big Band,New Orleans Suite,Duke Ellington
1971,Best Classical Performance - Orchestra,Mahler: Symphony No. 1 In D,Carlo Maria Giulini
1971,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Villa-Lobos: Concerto For Guitar,Julian Bream
1971,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Horowitz Plays Rachmaninoff (Etudes-Tableaux Piano Music; Sonatas),Vladimir Horowitz
1971,Best Chamber Music Performance,Debussy: Quartet In G Minor/Ravel: Quartet In F,Juilliard String Quartet
1971,Best Opera Recording,Verdi: Aida,Erich Leinsdorf
1971,Best Classical Vocal Soloist Performance,Leontyne Price Sings Robert Schumann,Leontyne Price
1971,Best Choral Performance - Classical,Berlioz: Requiem,Colin Davis
1971,"Best Engineered Recording, Classical",Berlioz: Requiem,Vittorio Negri
1970,Record Of The Year,Bridge Over Troubled Water,Simon And Garfunkel*
1970,Song Of The Year,Bridge Over Troubled Water,Paul Simon
1970,Best Instrumental Arrangement,"Theme From ""Z""",Henry Mancini
1970,Best Arrangement Accompanying Vocalist(s),Bridge Over Troubled Water,Art Garfunkel
1970,Best Engineered Recording - Non-Classical,Bridge Over Troubled Water,Roy Halee
1970,"Best Contemporary Vocal Performance, Female",I'll Never Fall In Love Again,Dionne Warwick
1970,"Best Contemporary Vocal Performance, Male",Everything Is Beautiful,Ray Stevens
1970,"Best Contemporary Vocal Performance By A Duo, Group Or Chorus",Close To You,Carpenters
1970,Best Contemporary Instrumental Performance,"Theme From ""Z"" And Other Film Music",Henry Mancini
1970,Best Contemporary Song,Bridge Over Troubled Water,Paul Simon
1970,"Best R&B Vocal Performance, Female",Don't Play That Song,Aretha Franklin
1970,"Best R&B Vocal Performance, Male",The Thrill Is Gone,B.B. King
1970,"Best R&B Performance By A Duo Or Group, Vocal Or Instrumental",Didn't I (Blow Your Mind This Time),Delfonics
1970,Best Rhythm & Blues Song,Patches,General Johnson
1970,Best Soul Gospel Performance,Every Man Wants To Be Free,Edwin Hawkins
1970,"Best Country Vocal Performance, Female",Rose Garden,Lynn Anderson
1970,"Best Country Vocal Performance, Male",For The Good Times,Ray Price
1970,Best Country Vocal Performance By A Duo Or Group,If I Were A Carpenter,Johnny Cash
1970,Best Country Instrumental Performance,Me And Jerry,Chet Atkins
1970,Best Country Song,"My Woman, My Woman, My Wife",Marty Robbins
1970,Best Sacred Performance (Musical),Everything Is Beautiful,Jake Hess
1970,Best Gospel Performance (Other Than Soul Gospel),Talk About The Good Times,Oak Ridge Boys
1970,Best Ethnic Or Traditional Recording (Including Traditional Blues),Good Feelin',T-Bone Walker
1970,Best Instrumental Composition,Airport Love Theme,Alfred Newman
1970,Best Original Score Written For A Motion Picture Or A Television Special,Let It Be,George Harrison
1970,Best Recording For Children,Sesame Street,Joan Cooney
1970,Best Comedy Recording,The Devil Made Me Buy This Dress,Flip Wilson
1970,Best Spoken Word Recording,Why I Oppose The War In Vietnam,Martin Luther King Jr.
1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans
1970,Best Jazz Performance - Large Group Or Soloist With Large Group,Bitches Brew,Miles Davis
1970,"Best Classical Performance, Orchestra",Stravinsky: Le Sacre Du Printemps,Pierre Boulez
1970,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),Brahms: Double Concerto (Concerto In A Minor For Violin And Cello),David Oistrakh
1970,Best Chamber Music Performance,Beethoven: The Complete Piano Trios,Eugene Istomin
1970,Best Opera Recording,Berlioz: Les Troyens,Colin Davis
1970,Best Classical Vocal Soloist Performance,Schubert: Lieder,Dietrich Fischer-Dieskau
1970,Best Choral Performance (Other Than Opera),Ives: New Music Of Charles Ives,Gregg Smith
1970,"Best Engineered Recording, Classical",Stravinsky: Le Sacre Du Printemps,Arthur Kendy
1969,Record Of The Year,Aquarius/Let The Sunshine In (The Flesh Failures),5th Dimension
1969,Song Of The Year,Games People Play,Joe South
1969,Best Instrumental Arrangement,Love Theme From Romeo And Juliet,Henry Mancini
1969,Best Arrangement Accompanying Vocalist(s),Spinning Wheel,Fred Lipsius
1969,Best Engineered Recording - Non-Classical,Abbey Road,Geoff E. Emerick
1969,"Best Contemporary Vocal Performance, Female",Is That All There Is?,Peggy Lee
1969,"Best Contemporary Vocal Performance, Male",Everybody's Talkin',Harry Nilsson
1969,Best Contemporary Vocal Performance By A Group,Aquarius/Let The Sunshine In (The Flesh Failures),5th Dimension
1969,Best Contemporary Performance By A Chorus,Love Theme From Romeo And Juliet,Percy Faith Chorus
1969,Best Contemporary Instrumental Performance,Variations On A Theme By Eric Satie,Blood
1969,Best Contemporary Song,Games People Play,Joe South
1969,"Best R&B Vocal Performance, Female",Share Your Love With Me,Aretha Franklin
1969,"Best R&B Vocal Performance, Male",The Chokin' Kind,Joe Simon
1969,Best R&B Vocal Performance By A Duo Or Group,It's Your Thing,Isley Brothers
1969,Best R&B Instrumental Performance,Games People Play,King Curtis
1969,Best Rhythm & Blues Song,Color Him Father,Richard Spencer
1969,Best Soul Gospel Performance,Oh Happy Day,Edwin Hawkins Singers
1969,"Best Country Vocal Performance, Female",Stand By Your Man,Tammy Wynette
1969,"Best Country Vocal Performance, Male",A Boy Named Sue,Johnny Cash
1969,Best Country Performance By A Duo Or Group With Vocal,MacArthur Park,Kimberlys
1969,Best Country Instrumental Performance,The Nashville Brass Featuring Danny Davis Play More Nashville Sounds,Nashville Brass With Danny Davis
1969,Best Country Song,A Boy Named Sue,Shel Silverstein
1969,Best Sacred Performance (Non-Classical),Ain't That Beautiful Singing,Jake Hess
1969,Best Gospel Performance,In Gospel Country,Blackwood Brothers
1969,Best Folk Performance,Clouds,Joni Mitchell
1969,Best Instrumental Theme,Midnight Cowboy,John Barry
1969,Best Original Score Written For A Motion Picture Or A Television Special,Butch Cassidy And The Sundance Kid,Burt Bacharach
1969,Best Recording For Children,"Peter, Paul And Mommy",Peter
1969,Best Comedy Recording,Bill Cosby,Bill Cosby
1969,Best Spoken Word Recording,We Love You Call Collect,Art Linkletter
1969,"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group",Willow Weep For Me,Wes Montgomery
1969,"Best Instrumental Jazz Performance, Large Group Or Soloist With Large Group",Walking In Space,Quincy Jones
1969,"Best Classical Performance, Orchestra","Boulez Conducts Debussy, Vol. 2 ""Images Pour Orchestre""",Pierre Boulez
1969,Best Chamber Music Performance,Gabrieli: Antiphonal Music Of Gabrieli,Chicago Brass Ensemble
1969,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),Switched-On-Bach,Walter Carlos
1969,Best Opera Recording,Wagner: Siegfried,Herbert von Karajan
1969,"Best Choral Performance, Classical (Other Than Opera)",Berio: Sinfonia,Luciano Berio
1969,"Best Vocal Soloist Performance, Classical",Barber: Two Scenes From Antony And Cleopatra/Knoxville: Summer Of 1915,Leontyne Price
1969,"Best Engineered Recording, Classical",Switched-on Bach,Walter Carlos
1968,Record Of The Year,Mrs. Robinson,Simon And Garfunkel*
1968,Song Of The Year,Little Green Apples,Bobby Russell
1968,Best Instrumental Arrangement,Classical Gas,Mike Post
1968,Best Arrangement Accompanying Vocalist(s),Mac Arthur Park,Jimmy L. Webb
1968,Best Engineered Recording (Non-Classical),Wichita Lineman,Hugh Davies
1968,"Best Contemporary Pop Vocal Performance, Female",Do You Know The Way To San Jose?,Dionne Warwick
1968,"Best Contemporary Pop Vocal Performance, Male",Light My Fire,Jose Feliciano
1968,Best Contemporary Pop Performance - Vocal Duo Or Group,Mrs. Robinson,Simon And Garfunkel
1968,"Best Contemporary Pop Performance, Chorus",Mission Impossible/Norwegian Wood Medley,Alan Copeland
1968,"Best Contemporary Pop Performance, Instrumental",Classical Gas,Mason Williams
1968,"Best Rhythm & Blues Vocal Performance, Female",Chain Of Fools,Aretha Franklin
1968,"Best Rhythm & Blues Vocal Performance, Male",(Sittin' On) The Dock Of The Bay,Otis Redding
1968,"Best Rhythm & Blues Performance By A Duo Or Group, Vocal Or Instrumental",Cloud Nine,Temptations
1968,Best Rhythm & Blues Song,(Sittin' On) The Dock Of The Bay,Otis Redding
1968,"Best Country Vocal Performance, Female",Harper Valley P.T.A.,Jeannie C. Riley
1968,"Best Country Vocal Performance, Male",Folsom Prison Blues,Johnny Cash
1968,"Best Country Performance, Duo Or Group - Vocal Or Instrumental",Foggy Mountain Breakdown,Flatt And Scruggs
1968,Best Country Song,Little Green Apples,Bobby Russell
1968,Best Sacred Performance,Beautiful Isle Of Somewhere,Jake Hess
1968,Best Gospel Performance,The Happy Gospel Of The Happy Goodmans,Happy Goodman Family
1968,Best Soul Gospel Performance,The Soul Of Me,Dottie Rambo
1968,Best Folk Performance,Both Sides Now,Judy Collins
1968,Best Instrumental Theme,Classical Gas,Mason Williams
1968,Best Original Score Written For A Motion Picture Or A Television Special,The Graduate,Dave Grusin
1968,Best Comedy Recording,"To Russell, My Brother, Whom I Slept With",Bill Cosby
1968,Best Spoken Word Recording,Lonesome Cities,Rod McKuen
1968,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,Bill Evans At The Montreux Jazz Festival,Bill Evans
1968,Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,And His Mother Called Him Bill,Duke Ellington
1968,Best Classical Performance - Orchestra,Boulez Conducts Debussy (La Mer; Prelude A L'Apres-Midi D'Un Faune; Jeux),Pierre Boulez
1968,Best Chamber Music Performance,"Glory Of Gabrieli Vol. II - Canzonas For Brass, Winds, Strings And Organ",E. Power Biggs
1968,Best Opera Recording,Mozart: Cosi Fan Tutte,Erich Leinsdorf
1968,Best Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),"Horowitz On Television (Chopin, Scriabin, Scarlatti, Horowitz)",Vladimir Horowitz
1968,Best Choral Performance (Other Than Opera),The Glory Of Gabrieli,Vittorio Negri
1968,Best Vocal Soloist Performance,Rossini: Rarities,Montserrat Caballe
1968,Best Engineered Recording - Classical,Mahler: Symphony No. 9 In D,Gordon Parry
1967,Record Of The Year,"Up, Up And Away",5th Dimension
1967,Song Of The Year,"Up, Up And Away",Jimmy L. Webb
1967,Best Instrumental Theme,Mission: Impossible,Lalo Schifrin
1967,"Best Vocal Performance, Female",Ode To Billie Joe,Bobbie Gentry
1967,"Best Vocal Performance, Male",By The Time I Get To Phoenix,Glen Campbell
1967,Best Instrumental Performance,Chet Atkins Picks The Best,Chet Atkins
1967,Best Performance By A Chorus,"Up, Up And Away",Johnny Mann Singers
1967,Best Performance By A Chorus,"Up, Up And Away",5th Dimension
1967,Best Original Score Written For A Motion Picture Or A Television Show,Mission: Impossible,Lalo Schifrin
1967,Best Comedy Recording,Revenge,Bill Cosby
1967,"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group","Mercy, Mercy, Mercy",Cannonball Adderley
1967,"Best Instrumental Jazz Performance, Large Group Or Soloist With Large Group",Far East Suite,Duke Ellington
1967,Best Contemporary Single,"Up, Up And Away",5th Dimension
1967,Best Contemporary Female Solo Vocal Performance,Ode To Billie Joe,Bobbie Gentry
1967,Best Contemporary Male Solo Vocal Performance,By The Time I Get To Phoenix,Glen Campbell
1967,Best Contemporary Group Performance (Vocal Or Instrumental),"Up, Up And Away",5th Dimension
1967,Best Rhythm & Blues Recording,Respect,Aretha Franklin
1967,"Best Rhythm & Blues Solo Vocal Performance, Female",Respect,Aretha Franklin
1967,"Best Rhythm & Blues Solo Vocal Performance, Male",Dead End Street,Lou Rawls
1967,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",Soul Man,Sam And Dave
1967,Best Sacred Performance,How Great Thou Art,Elvis Presley
1967,Best Gospel Performance,More Grand Old Gospel,Blackwood Brothers
1967,Best Folk Performance,Gentle On My Mind,John Hartford
1967,Best Country & Western Recording,Gentle On My Mind,Glen Campbell
1967,"Best Country & Western Solo Vocal Performance, Female",I Don't Wanna Play House,Tammy Wynette
1967,"Best Country & Western Solo Vocal Performance, Male",Gentle On My Mind,Glen Campbell
1967,"Best Country & Western Performance Duet, Trio Or Group (Vocal Or Instrumental)",Jackson,Johnny Cash
1967,Best Country & Western Song,Gentle On My Mind,John Hartford
1967,"Best Spoken Word, Documentary Or Drama Recording",Gallant Men,Everett M. Dirksen
1967,Best Recording For Children,Dr. Seuss: How The Grinch Stole Christmas,Boris Karloff
1967,Best Instrumental Arrangement,Alfie,Burt Bacharach
1967,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Ode To Billie Joe,Jimmie Haskell
1967,Best Engineered Recording - Non-Classical,Sgt. Pepper's Lonely Hearts Club Band,Geoff E. Emerick
1967,"Best Engineered Recording, Classical",The Glorious Sound Of Brass,Edward
1967,Best Classical Performance - Orchestra,Stravinsky: Firebird And Petrouchka Suites,Igor Stravinsky
1967,Best Chamber Music Performance,West Meets East,Ravi Shankar
1967,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),"Horowitz In Concert (Haydn, Schumann, Scriabin, Debussy, Mozart, Chopin)",Vladimir Horowitz
1967,Best Opera Recording,Berg: Wozzeck,Pierre Boulez
1967,Best Classical Choral Performance (Other Than Opera),Orff: Catulli Carmina,Eugene Ormandy
1967,Best Classical Choral Performance (Other Than Opera),Mahler: Symphony No. 8 In E Flat Major (Symphony Of A Thousand),Leonard Bernstein
1967,Best Classical Vocal Soloist Performance,"Prima Donna, Volume 2",Leontyne Price
1966,Record Of The Year,Strangers In The Night,Frank Sinatra
1966,Song Of The Year,Michelle,John Lennon
1966,Best Instrumental Theme,Batman Theme,Neal Hefti
1966,"Best Vocal Performance, Female",If He Walked Into My Life,Eydie Gorme
1966,"Best Vocal Performance, Male",Strangers In The Night,Frank Sinatra
1966,Best Instrumental Performance (Other Than Jazz),What Now My Love,Herb Alpert
1966,Best Performance By A Chorus,Somewhere My Love (Lara's Theme From Dr. Zhivago),Ray Conniff
1966,Best Performance By A Chorus,A Man And A Woman,Anita Kerr Singers
1966,Best Original Score Written For A Motion Picture Or Television Show,Dr. Zhivago,Maurice Jarre
1966,Best Comedy Performance,Wonderfulness,Bill Cosby
1966,"Best Spoken Word, Documentary Or Drama Recording",Edward R. Murrow - A Reporter Remembers Vol. I The War Years,Edward R. Murrow
1966,Best Recording For Children,"Dr. Seuss Presents - ""If I Ran The Zoo"" And ""Sleep Book""",Marvin Miller
1966,Best Instrumental Jazz Performance - Group Or Soloist With Group,Goin' Out Of My Head,Wes Montgomery
1966,Best Original Jazz Composition,In The Beginning God,Duke Ellington
1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental","Monday, Monday",Mamas And The Papas
1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",Winchester Cathedral,New Vaudeville Band
1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",Eleanor Rigby,Paul McCartney
1966,Best Rhythm & Blues Recording,Crying Time,Ray Charles
1966,"Best Rhythm & Blues Solo Vocal Performance, Male Or Female",Crying Time,Ray Charles
1966,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",Hold It Right There,Ramsey Lewis
1966,Best Folk Recording,Blues In The Street,Cortelia Clark
1966,Best Sacred Recording (Musical),Grand Old Gospel,Blackwood Brothers
1966,Best Country & Western Recording,Almost Persuaded,David Houston
1966,Best Country & Western Vocal Performance - Female,Don't Touch Me,Jeannie Seely
1966,"Best Country & Western Vocal Performance, Male",Almost Persuaded,David Houston
1966,Best Country & Western Song,Almost Persuaded,Billy Sherrill
1966,Best Instrumental Arrangement,What Now My Love,Herb Alpert
1966,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Strangers In The Night,Ernie Freeman
1966,Best Engineered Recording - Non-Classical,Strangers In The Night,Eddie Brackett
1966,Best Engineered Recording - Classical,Wagner: Lohengrin,Anthony Salvatore
1966,Best Classical Performance - Orchestra,Mahler: Symphony No. 6 In A Minor,Erich Leinsdorf
1966,Best Chamber Music Performance - Instrumental Or Vocal,"Boston Symphony Chamber Players - Works Of Mozart, Brahms, Beethoven, Fine, Copland, Carter, Piston",Boston Symphony Chamber Players
1966,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),"Baroque Guitar (Works Of Bach, Sanz, Weiss, Etc.)",Julian Bream
1966,Best Opera Recording,Wagner: Die Walkure,Georg Solti
1966,Best Classical Choral Performance (Other Than Opera),Ives: Music For Chorus,George Bragg
1966,Best Classical Choral Performance (Other Than Opera),Handel: Messiah,Robert Shaw
1966,Best Classical Vocal Soloist Performance (With Or Without Orchestra),"Prima Donna (Works Of Barber, Purcell, Etc.)",Leontyne Price
1965,Record Of The Year,A Taste Of Honey,Herb Alpert*
1965,Song Of The Year,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Johnny Mandel
1965,"Best Vocal Performance, Female",My Name Is Barbra,Barbra Streisand
1965,"Best Vocal Performance, Male",It Was A Very Good Year,Frank Sinatra
1965,"Best Instrumental Performance, Non-Jazz",A Taste Of Honey,Herb Alpert
1965,Best Performance By A Chorus,Anyone For Mozart?,Ward Swingle
1965,Best Performance By A Chorus,We Dig Mancini,Anita Kerr Singers
1965,Best Original Score Written For A Motion Picture Or Television Show,The Sandpiper,Johnny Mandel
1965,Best Comedy Performance,Why Is There Air?,Bill Cosby
1965,Best Spoken Word Or Drama Recording,John F. Kennedy - As We Remember Him,Goddard Lieberson
1965,Best Recording For Children,"Dr. Seuss Presents ""Fox In Sox"" And ""Green Eggs And Ham""",Marvin Miller
1965,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,"The ""In"" Crowd",Ramsey Lewis
1965,Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,Ellington '66,Duke Ellington
