Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,Tar-Pre
82,5.4561067329999995,Fats Domino,Let The Four Winds Blow,1961,346731,3431,111029,65,,-1.9131784202936473
76,5.736711756,Neil Sedaka,Stairway To Heaven,1960,780214,7962,68157,59,pop,-0.525265525999389
33,9.949031357,Neil Sedaka,Calendar Girl,1961,6665463,7962,68157,59,brill building,1.5273398520355865
15,16.74093727,Neil Sedaka,Breaking Up Is Hard To Do,1962,6350083,7962,68157,59,"brill building, doo-wop",1.3863472386326663
78,5.63920084,Ray Charles,Georgia On My Mind,1960,203180,6315,872966,72,"jazz, soul, blues, traditional pop",-2.952494659525698
19,14.32262507,Ray Charles,Hit The Road Jack,1961,34945564,6315,872966,72,"r&b, jazz",2.1024387917364358
60,6.7053302839999995,Ray Charles,One Mint Julep,1961,333918,6315,872966,72,,-2.548212569840169
54,7.188199442999999,Ray Charles,You Don't Know Me,1962,5666493,6315,872966,72,,0.19069658464574601
80,5.545754095,Ray Charles,Here We Go Again,1967,10222548,6315,872966,72,rhythm and blues,0.3181166530389419
79,5.59198657,Skip and Flip,Cherry Pie,1960,21703,429,58,21,pop,-1.1811522768723162
82,5.4561067329999995,Lloyd Price,Lady Luck,1960,447560,1034,12972,46,,-0.20145049305605767
83,5.412631479,The Crests,Step By Step,1960,160505,1839,6597,43,,-0.9404580825714799
84,5.370017132,Paul Evans,Happy-Go-Lucky Me,1960,315970,336,360,31,,0.6723444218021051
85,5.328236693,Ricky Nelson,Young Emotions,1960,197454,4885,61434,56,ballad,-1.720259389674144
23,12.62582101,Ricky Nelson,Travelin' Man,1961,3426713,4885,61434,56,pop,1.041070657652094
49,7.664266317999999,Ricky Nelson,Hello Mary Lou,1961,5626492,4885,61434,56,rockabilly,1.5369553223476586
43,8.35431448,Ricky Nelson,Young World,1962,347455,4885,61434,56,,-1.3401720322852047
77,5.687430745,Ricky Nelson,Teen Age Idol,1962,410663,4885,61434,56,,-1.1730342656877255
