,Artist,Title,URL,GenreRaw
207,Ernie K-Doe,Mother-In-Law,https://en.wikipedia.org/wiki/Mother-in-law_joke,
208,The Dovells,Bristol Stomp,https://en.wikipedia.org/wiki/Bristol_Stomp,doo-wop
209,The Dovells,You Can't Sit Down,https://en.wikipedia.org/wiki/You_Can%27t_Sit_Down,
210,The Miracles,Shop Around,https://en.wikipedia.org/wiki/Shop_Around,soul
211,The Miracles,You've Really Got a Hold on Me,https://en.wikipedia.org/wiki/You%27ve_Really_Got_a_Hold_on_Me,soul
212,The Miracles,Mickey's Monkey,https://en.wikipedia.org/wiki/The_Miracles_Doin%27_Mickey%27s_Monkey,"soul, pop"
213,The Miracles,The Tracks of My Tears,https://en.wikipedia.org/wiki/The_Tracks_of_My_Tears,soul
214,The Miracles,Ooo Baby Baby,https://en.wikipedia.org/wiki/Ooo_Baby_Baby,"soul, pop"
215,Gene Mcdaniels,A Hundred Pounds Of Clay,https://en.wikipedia.org/wiki/A_Hundred_Pounds_of_Clay,soul
216,Dick and Dee Dee,The Mountain's High,https://en.wikipedia.org/wiki/The_Mountain%27s_High,rock and roll
217,Dick and Dee Dee,Tell Me,https://en.wikipedia.org/wiki/Dick_and_Dee_Dee,
218,Floyd Cramer,On The Rebound,https://en.wikipedia.org/wiki/On_the_Rebound,"folk, world, country"
219,Floyd Cramer,San Antonio Rose,https://en.wikipedia.org/wiki/New_San_Antonio_Rose,
220,Gary U.S. Bonds,Quarter To Three,https://en.wikipedia.org/wiki/Quarter_to_Three,doo-wop
221,Gary U.S. Bonds,School Is Out,,
222,Gary U.S. Bonds,Dear Lady Twist,,
223,Gary U.S. Bonds,"Twist, Twist Senora",,
224,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)","https://en.wikipedia.org/wiki/Who_Put_the_Bomp_(in_the_Bomp,_Bomp,_Bomp)","doo-wop, bubblegum pop (sugaryline version)"
225,Chris Kenner,I Like It Like That,https://en.wikipedia.org/wiki/I_Like_It_Like_That_(Chris_Kenner_song),
226,Jorgen Ingmann,Apache,,
227,Linda Scott,Don't Bet Money Honey,https://en.wikipedia.org/wiki/Don%27t_Bet_Money_Honey,pop
228,Linda Scott,I've Told Every Little Star,https://en.wikipedia.org/wiki/I%27ve_Told_Ev%27ry_Little_Star,pop
