Artist,URL,WikiWordCount,external_urls,followers,genres,href,id,images,name,popularity,type,uri
Hank Ballard and The Midnighters,https://en.wikipedia.org/wiki/Hank_Ballard,825.0,https://open.spotify.com/artist/01PZH8MrTxfgfTXNqpMRjG,802,,https://api.spotify.com/v1/artists/01PZH8MrTxfgfTXNqpMRjG,01PZH8MrTxfgfTXNqpMRjG,https://i.scdn.co/image/3fcb07c06a0434c0ff5412a89a75fa48486f4b94,,24,artist,spotify:artist:01PZH8MrTxfgfTXNqpMRjG
Platters,https://en.wikipedia.org/wiki/The_Platters,2324.0,https://open.spotify.com/artist/6KWcxMWVNVIYbdOQyJtsSy,121510,adult standards|brill building pop|christmas|doo-wop|easy listening|jazz blues|lounge|mellow gold|motown|rock-and-roll|rockabilly|soul|soul christmas|vocal jazz,https://api.spotify.com/v1/artists/6KWcxMWVNVIYbdOQyJtsSy,6KWcxMWVNVIYbdOQyJtsSy,https://i.scdn.co/image/5cd768c374f83c5b8ce3515797aedd6f1da066ec,,66,artist,spotify:artist:6KWcxMWVNVIYbdOQyJtsSy
Billy Bland,https://en.wikipedia.org/wiki/Billy_Bland,265.0,https://open.spotify.com/artist/4mDEpwlcBham5q1dmykSG0,210,,https://api.spotify.com/v1/artists/4mDEpwlcBham5q1dmykSG0,4mDEpwlcBham5q1dmykSG0,https://i.scdn.co/image/9ee1e360df6b0493b4e4f9c026ad723a9db55def,,14,artist,spotify:artist:4mDEpwlcBham5q1dmykSG0
Jeanne Black,https://en.wikipedia.org/wiki/Jeanne_Black,234.0,https://open.spotify.com/artist/4f2WSqFHOISjWlyl9mYJJw,31,deep adult standards,https://api.spotify.com/v1/artists/4f2WSqFHOISjWlyl9mYJJw,4f2WSqFHOISjWlyl9mYJJw,https://i.scdn.co/image/ba2a72460c9bbc87119728583224d36ac752f635,,8,artist,spotify:artist:4f2WSqFHOISjWlyl9mYJJw
Ferrante and Teicher,https://en.wikipedia.org/wiki/Ferrante_%26_Teicher,1231.0,https://open.spotify.com/artist/17rSwcIT9qu1OybU1lReJB,3636,adult standards|ballroom|christmas|easy listening|exotica|lounge|romantico,https://api.spotify.com/v1/artists/17rSwcIT9qu1OybU1lReJB,17rSwcIT9qu1OybU1lReJB,https://i.scdn.co/image/965a500f73b304aee9c1eed182f80651eb4126df,,46,artist,spotify:artist:17rSwcIT9qu1OybU1lReJB
Jimmy Charles,https://en.wikipedia.org/wiki/Jimmy_Charles,334.0,https://open.spotify.com/artist/2aWMpUpxRV3pGXVdr6Srp9,124,,https://api.spotify.com/v1/artists/2aWMpUpxRV3pGXVdr6Srp9,2aWMpUpxRV3pGXVdr6Srp9,https://i.scdn.co/image/67c0644973e8341fb798de8caf6dbf7abadfdc09,,15,artist,spotify:artist:2aWMpUpxRV3pGXVdr6Srp9
Andy Williams,https://en.wikipedia.org/wiki/Andy_Williams,3980.0,https://open.spotify.com/artist/4sj6D0zlMOl25nprDJBiU9,94409,adult standards|brill building pop|bubblegum pop|cabaret|christmas|easy listening|lounge|mellow gold|opera|operatic pop|rock-and-roll|soft rock|vocal jazz,https://api.spotify.com/v1/artists/4sj6D0zlMOl25nprDJBiU9,4sj6D0zlMOl25nprDJBiU9,https://i.scdn.co/image/8cdf977c26fa6bdc9b0838ef31f6fd3a48037b2b,,75,artist,spotify:artist:4sj6D0zlMOl25nprDJBiU9
The Browns,https://en.wikipedia.org/wiki/The_Browns,707.0,https://open.spotify.com/artist/6GDSMFwAQBfnrrZf981Yji,1592,country gospel|cowboy western|nashville sound|traditional country|western swing,https://api.spotify.com/v1/artists/6GDSMFwAQBfnrrZf981Yji,6GDSMFwAQBfnrrZf981Yji,https://i.scdn.co/image/810c535e074d6344af3394b4f61378f37eb58036,,31,artist,spotify:artist:6GDSMFwAQBfnrrZf981Yji
Bill Black's Combo,https://en.wikipedia.org/wiki/Bill_Black,2017.0,https://open.spotify.com/artist/4kLycdJ7gH6Cr7nnrHFd8D,108,,https://api.spotify.com/v1/artists/4kLycdJ7gH6Cr7nnrHFd8D,4kLycdJ7gH6Cr7nnrHFd8D,https://i.scdn.co/image/ce71ec5e4b4de357f2c0e4c4b7a50199f31f164b,,5,artist,spotify:artist:4kLycdJ7gH6Cr7nnrHFd8D
Bobby Vee,https://en.wikipedia.org/wiki/Bobby_Vee,1614.0,https://open.spotify.com/artist/5MX2l6ewjOaeWn1lYNhzlO,35092,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|folk rock|lounge|merseybeat|motown|nashville sound|rock-and-roll|rockabilly,https://api.spotify.com/v1/artists/5MX2l6ewjOaeWn1lYNhzlO,5MX2l6ewjOaeWn1lYNhzlO,https://i.scdn.co/image/bee5d5c5fb7c9890c9700647c56936d1333bf455,,55,artist,spotify:artist:5MX2l6ewjOaeWn1lYNhzlO
