Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,GenreClean,TarPre,GenreClean2
4,40.05349388,Johnny Preston,Running Bear,1960,1444980,444,2592,38,,,1.691489718,pop
19,14.32262507,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,3452011,1193,8485,50,bubblegum pop,bubblegum pop,1.688926407,pop
66,6.296526022,The Easybeats,Friday On My Mind,1967,6038048,4259,16041,49,"pop rock, garage rock","pop rock, garage rock",1.68890447,rock
39,8.910403258,Zombies,Time Of The Season,1969,40561780,2742,330625,69,,psychedelic,1.667834976,rock
81,5.500471104,Doris Troy,Just One Look,1963,2024598,542,3167,39,rhythm and blues,r&b,1.662585176,r&b
67,6.234342105,The Human Beinz,Nobody But Me,1968,3919199,835,3328,40,"rock, garage rock","rock, garage rock",1.659618947,rock
46,7.990608098,James and Bobby Purify,I'm Your Puppet,1966,3820190,566,4017,43,r&b,r&b,1.658192089,r&b
6,30.6492728,The Doors,Light My Fire,1967,53866236,8577,1978221,78,psychedelic rock,psychedelic rock,1.652381128,rock
39,8.910403258,Carla Thomas,B-A-B-Y,1966,9284829,1161,13292,57,"r&b, pop","r&b, pop",1.632543687,r&b
27,11.35794904,The Marvelettes,Playboy,1962,8011077,3009,65203,60,"pop, r&b","pop, r&b",1.632512781,r&b
88,5.207645782,Marvin Gaye,I Heard It Through The Grapevine,1969,73644587,7086,1499687,78,"r&b, psychedelic soul","r&b, psychedelic soul",1.629893836,r&b
51,7.4645509,Shirley Bassey,Goldfinger,1965,7846673,4467,74478,55,"pop, orchestral pop, r&b","pop, orchestral pop, r&b",1.628283953,r&b
10,21.87761624,The Supremes,Where Did Our Love Go,1964,22205872,5042,388007,70,"r&b, pop, doo-wop","r&b, pop, doo-wop",1.624717488,r&b
38,9.064478563,The Isley Brothers,Twist And Shout,1962,16962564,2160,387904,69,"rock and roll, r&b","rock and roll, r&b",1.622313692,r&b
20,13.84586851,Sly and The Family Stone,Dance To The Music,1968,22774230,4729,215459,66,"psychedelic soul, folkORfunk","psychedelic soul, folkORfunk",1.615345023,r&b
46,7.990608098,Dion,Runaround Sue,1961,27540370,3245,941947,79,"doo-wop, rock and roll","doo-wop, rock and roll",1.604344581,r&b
77,5.687430745,Curtis Lee,Pretty Little Angel Eyes,1961,847297,1967,1158,33,"pop, doo-wop","pop, doo-wop",1.599841181,r&b
25,11.94977132,The Beatles with Billy Preston,Get Back,1969,27161082,3613,16112,70,blues rock,blues rock,1.595275581,rock
50,7.562750921,Chad and Jeremy,A Summer Song,1964,2344444,1030,8629,39,pop,pop,1.589664072,pop
12,19.39725958,Dion,The Wanderer,1962,30747630,3245,941947,79,"rhythm and blues, pop, rock and roll","r&b, pop, rock and roll",1.58872189,r&b
94,4.985808764,Aretha Franklin,Think,1968,44177032,4631,857587,75,soul,soul,1.586426436,r&b
4,40.05349388,The Cascades,Rhythm Of The Rain,1963,3825570,651,10722,48,"pop, doo-wop","pop, doo-wop",1.581655669,r&b
94,4.985808764,The Monkees,Daydream Believer,1967,20192730,18620,203117,66,psychedelic pop,psychedelic pop,1.572296073,pop
26,11.64441273,Zager and Evans,In The Year 2525,1969,5177087,704,1710,45,folk rock,folk rock,1.57213606,rock
34,9.754924552,Wayne Fontana and The Mindbenders,Game of Love,1965,1630980,522,2826,34,"beat, garage rock, blues rock","beat, garage rock, blues rock",1.54049293,rock
24,12.27610461,The Miracles,Shop Around,1961,8287327,5611,239780,63,soul,soul,1.538551572,r&b
28,11.08857401,Jan and Dean,Surf City,1963,2529316,4719,11325,45,vocal surf,vocal surf,1.537725521,pop
49,7.664266318,Ricky Nelson,Hello Mary Lou,1961,5626492,4885,61434,56,rockabilly,rockabilly,1.536955322,rockabilly
56,7.017717833,The Crystals,Da Doo Ron Ron,1963,6562159,1856,27866,57,"r&b, pop, doo-wop","r&b, pop, doo-wop",1.53318159,r&b
12,19.39725958,Roger Miller,King of the Road,1965,7828198,3536,36057,57,country,country,1.530791089,country
47,7.877989793,The Lemon Pipers,Green Tambourine,1968,2827207,1228,4252,37,"psychedelic rock, psychedelic pop, bubblegum pop","psychedelic rock, psychedelic pop, bubblegum pop",1.527625545,rock
33,9.949031357,Neil Sedaka,Calendar Girl,1961,6665463,7962,68157,59,brill building,brill building,1.527339852,pop
33,9.949031357,James Brown,Papa's Got a Brand New Bag,1965,22403335,12563,775026,71,"soul, folkORfunk, rhythm and blues","soul, folkORfunk, r&b",1.522380728,r&b
16,16.04282372,"Peter, Paul and Mary","Puff, The Magic Dragon",1963,7184102,1386,94676,57,"folk, pop","folk, pop",1.514742154,folkORfunk
50,7.562750921,The Capris,There's A Moon Out Tonight,1961,977093,562,3207,34,,,1.510319437,r&b
5,34.56844127,? and the Mysterians,96 Tears,1966,3040043,1979,7446,42,"garage rock, pop rock, psychedelic rock","garage rock, pop rock, psychedelic rock",1.501058435,rock
17,15.41358678,The Young Rascals,Good Lovin',1966,4783568,2093,20025,48,"rhythm and blues, blue-eyed soul","r&b, blue-eyed soul",1.495644891,r&b
41,8.621099442,The Lovin' Spoonful,Daydream,1966,9579486,2804,75144,58,folk rock,folk rock,1.492384534,rock
15,16.74093727,The Mar-Keys,Last Night,1961,1118216,1102,5742,36,"r&b, instrumental rock","r&b, instrumental rock",1.491765224,instrumental
42,8.485070759,Ruby And The Romantics,Our Day Will Come,1963,634923,1335,744,27,r&b,r&b,1.483319601,r&b
49,7.664266318,The Cowsills,"The Rain, The Park And Other Things",1967,3174001,2784,12812,42,psychedelic pop,psychedelic pop,1.47970887,pop
67,6.234342105,Ray Peterson,Tell Laura I Love Her,1960,1317706,527,3375,38,pop,pop,1.479432825,pop
10,21.87761624,Archie Bell and The Drells,Tighten Up,1968,3636744,929,5752,43,folkORfunk,folkORfunk,1.47310543,folkORfunk
23,12.62582101,Strawberry Alarm Clock,Incense And Peppermints,1967,3209861,2881,16998,42,"psychedelic rock, acid rock, psychedelic pop","psychedelic rock, acid rock, psychedelic pop",1.465391883,rock
10,21.87761624,Tommy James and The Shondells,Crimson And Clover,1969,11905252,1401,43850,56,"psychedelic pop, psychedelic rock","psychedelic pop, psychedelic rock",1.455822457,rock
64,6.425711417,The Reflections,(Just Like) Romeo and Juliet,1964,182525,623,227,6,"pop, doo-wop","pop, doo-wop",1.45306064,r&b
29,10.83471074,Brian Hyland,Sealed With A Kiss,1962,3465190,1193,8485,50,pop,pop,1.452953343,pop
48,7.769280177,The Yardbirds,For Your Love,1965,8967649,5123,163619,59,pop rock,pop rock,1.445114564,popRock
43,8.35431448,Mason Williams,Classical Gas,1968,2922557,1908,3521,40,"easy listening, classical, baroque pop","easy listening, classical, baroque pop",1.444623992,easyListening
2,63.2878297,Patsy Cline,I Fall To Pieces,1961,8098285,8503,201170,62,"country, traditional pop","country, traditional pop",1.438613691,country
11,20.54380234,The Music Explosion,Little Bit O' Soul,1967,568383,552,223,20,"pop rock, garage rock","pop rock, garage rock",1.431845605,rock
36,9.393779234,Lesley Gore,You Don't Own Me,1964,5423583,1458,27747,54,"pop, r&b","pop, r&b",1.429232346,r&b
5,34.56844127,The Chiffons,He's So Fine,1963,4300451,993,17916,52,"pop, doo-wop","pop, doo-wop",1.427524446,r&b
11,20.54380234,Jeannie C. Riley,Harper Valley P.T.A.,1968,2780119,1067,8772,39,"country, country pop","country, country pop",1.418395739,country
27,11.35794904,The Chantays,Pipeline,1963,1118918,674,2907,34,surf rock,surf rock,1.409636986,rock
30,10.59497587,Peter and Gordon,A World Without Love,1964,2782696,951,12316,44,pop,pop,1.407789737,pop
94,4.985808764,The Ikettes,I'm Blue (The Gong-Gong Song),1962,430899,1813,946,24,"blues, r&b, rock 'n' roll","blues, r&b, rock and roll",1.397845567,r&b
100,4.786300923,The Searchers,Needles and Pins,1964,3843254,3308,35327,50,"jangle pop, merseybeat, british rock and roll","jangle pop, merseybeat, british rock and roll",1.395990648,rock
15,16.74093727,Neil Sedaka,Breaking Up Is Hard To Do,1962,6350083,7962,68157,59,"brill building, doo-wop","brill building, doo-wop",1.386347239,r&b
26,11.64441273,The Newbeats,Bread and Butter,1964,469577,566,528,21,pop,pop,1.385742662,pop
9,23.45308318,The Young Rascals,Groovin',1967,4783568,2093,20025,48,"r&b, blue-eyed soul","r&b, blue-eyed soul",1.375744946,r&b
16,16.04282372,Hollywood Argyles,Alley Oop,1960,218008,564,154,18,,,1.365338544,rock
48,7.769280177,The Temptations,Ain't Too Proud to Beg,1966,26620715,9521,663199,73,"soul, r&b","soul, r&b",1.364374383,r&b
1,100,Sam the Sham and the Pharaohs,Wooly Bully,1965,3020229,1129,7727,46,"rock and roll, garage rock","rock and roll, garage rock",1.364273791,rock
14,17.52086311,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1965,1339521,265,1470,34,"pop music, soul","pop music, soul",1.363248701,r&b
7,27.68441135,The Mamas and The Papas,"Monday, Monday",1966,16358219,5544,243320,67,"sunshine pop, folk rock","sunshine pop, folk rock",1.352922432,sunshinePop
36,9.393779234,The Capitols,Cool Jerk,1966,1499894,879,1189,35,rhythm and blues,r&b,1.348932446,r&b
