				playcount	new_rank
61	Gary Lewis and The Playboys	Count Me In	1965	504105	
62	Kinks	All Day And All Of The Night	1965	46065659	
63	Jackie DeShannon	What The World Needs Now Is Love	1965	4468238	
64	Tom Jones	It's Not Unusual	1965	37632492	
65	Sir Douglas Quintet	She's About A Mover	1965	438412	
66	Sam Cooke	Shake	1965	608036	
67	Herman's Hermits	Wonderful World	1965	76394	
68	Martha and The Vandellas	Nowhere To Run	1965	14919498	
69	Yardbirds	Heart Full Of Soul	1965	14356985	
70	Searchers	Love Potion Number Nine	1965	1063350	
71	Dickle Lee	Laurie (Strange Things Happen)	1965	18958	
72	Sonny and Cher	Baby Don't Go	1965	759198	
73	Turtles	It Ain't Me Babe	1965	1644953	
74	Zombies	Tell Her No	1965	728476	
75	Peter and Gordon	I Go To Pieces	1965	806850	
76	Vic Dana	Red Roses For A Blue Lady	1965	172645	
77	Patty Duke	Don't Just Stand There	1965	60509	
78	Miracles	The Tracks Of My Tears	1965	28463187	
79	Brenda Lee	Too Many Rivers	1965	163530	
80	Dave Clark Five	I Like It Like That	1965	NaN	
81	Bobby Goldsboro	Little Things	1965	80093	
82	Peter and Gordon	True Love Ways	1965	612139	
83	Four Tops	It's The Same Old Song	1965	6423287	
84	Fortunes	You've Got Your Troubles	1965	664723	
85	Joe Tex	Hold What You've Got	1965		
86	Animals	We Gotta Get Out Of This Place	1965		
87	Beau Brummels	"Laugh, Laugh"	1965		
88	Rolling Stones	The Last Time	1965		
89	Lovin' Spoonful	Do You Believe In Magic	1965		
90	Cher	All I Really Want To Do	1965		
91	Little Anthony and The Imperials	Take Me Back	1965		
92	Strangeloves	I Want Candy	1965		
93	Miracles	Ooo Baby Baby	1965		
94	Sonny	Laugh At Me	1965		
95	Roy Head	Treat Her Right	1965		
96	Jack Jones	The Race Is On	1965		
97	"Dino, Desi and Billy"	I'm A Fool	1965		
98	Ad Libs	The Boy From New York City	1965		
99	Del Shannon	Keep Searchin'	1965		
100	Marvin Gaye	How Sweet It Is (To Be Loved By You)	1965		
1	Sgt. Barry Sadler	The Ballad Of The Green Berets	1966		
2	Association	Cherish	1966		
3	Righteous Brothers	(You're My) Soul And Inspiration	1966		
4	Four Tops	Reach Out I'll Be There	1966		
5	? and The Mysterians	96 Tears	1966		
6	Monkees	Last Train To Clarksville	1966		
7	Mama's and The Papa's	"Monday, Monday"	1966		
8	Supremes	You Can't Hurry Love	1966		
9	Johnny Rivers	Poor Side Of Town	1966		
10	Mama's and The Papa's	California Dreamin'	1966		
11	Lovin' Spoonful	Summer In The City	1966		
12	Roger Williams	Born Free	1966		
13	Nancy Sinatra	These Boots Are Made For Walkin'	1966		
14	Jimmy Ruffin	What Becomes Of The Brokenhearted	1966		
15	Frank Sinatra	Strangers In The Night	1966		
16	Beatles	We Can Work It Out	1966		
17	Young Rascals	Good Lovin'	1966		
18	New Vaudeville Band	Winchester Cathedral	1966		
19	Tommy James and The Shondells	Hanky Panky	1966		
20	Percy Sledge	When A Man Loves A Woman	1966		
21	Rolling Stones	Paint It Black	1966		
22	Petula Clark	My Love	1966		
23	Lou Christie	Lightnin' Strikes	1966		
24	Troggs	Wild Thing	1966		
25	Paul Revere and The Raiders	Kicks	1966		
26	Donovan	Sunshine Superman	1966		
27	Bobby Hebb	Sunny	1966		
28	Beatles	Paperback Writer	1966		
29	Happenings	See You In September	1966		
30	Supremes	You Keep Me Hangin' On	1966		
31	Sam The Sham and The Pharaohs	Lil' Red Riding Hood	1966		
32	Mitch Ryder and The Detroit Wheels	Devil With A Blue Dress On and Good Golly Miss Molly (Medley)	1966		
33	Beach Boys	Good Vibrations	1966		
34	Mindbenders	A Groovy Kind Of Love	1966		
35	Dusty Springfield	You Don't Have To Say You Love Me	1966		
36	Capitols	Cool Jerk	1966		
37	Sandy Posey	Born A Woman	1966		
38	Cyrkle	Red Rubber Ball	1966		
39	Carla Thomas	B-A-B-Y	1966		
40	Left Banke	Walk Away Renee	1966		
41	Lovin' Spoonful	Daydream	1966		
42	Outsiders	Time Won't Let Me	1966		
43	Tommy Roe	Hooray For Hazel	1966		
44	Tommy Roe	Sweet Pea	1966		
45	Hollies	Bus Stop	1966		
46	James and Bobby Purify	I'm Your Puppet	1966		
47	B.J. Thomas and The Triumphs	I'm So Lonesome I Could Cry	1966		
48	Temptations	Ain't Too Proud To Beg	1966		
49	Standells	Dirty Water	1966		
50	Bob Lind	Elusive Butterfly	1966		
51	Simon and Garfunkel	I Am A Rock	1966		
52	Ray Charles	Crying Time	1966		
53	Johnny Rivers	Secret Agent Man	1966		
54	Simon and Garfunkel	The Sounds Of Silence	1966		
55	Peter and Gordon	Lady Godiva	1966		
56	Simon and Garfunkel	Homeward Bound	1966		
57	Lovin' Spoonful	Did You Ever Have To Make Up Your Mind?	1966		
58	Robert Parker	Barefootin'	1966		
59	Stevie Wonder	Uptight (Everything's Alright)	1966		
60	Cher	Bang Bang	1966		
61	Beach Boys	Sloop John B	1966		
62	Rolling Stones	19th Nervous Breakdown	1966		
63	Surfaris	Wipe Out	1966		
64	Count Five	Psychotic Reaction	1966		
65	Temptations	Beauty Is Only Skin Deep	1966		
66	T-Bones	No Matter What Shape (Your Stomach Is In)	1966		
67	Paul Revere and The Raiders	Just Like Me	1966		
