Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,Grammy,Genre,beat,country,easyListening,folkORfunk,instrumental,jazz,pop,popRock,r&b,rock,rockabilly,sunshinePop,traditionalPop
64,6.425711417,Donnie Brooks,Mission Bell,1960,80369,607,119,12,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
67,6.234342105,Ray Peterson,Tell Laura I Love Her,1960,1317706,527,3375,38,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
90,5.130975533,Ray Peterson,Missing You,1961,36663,527,3375,38,0,traditionalPop,0,0,0,0,0,0,0,0,0,0,0,0,1
72,5.945119004,Fats Domino,Walking To New Orleans,1960,1725415,3431,111029,65,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
82,5.456106733,Fats Domino,Let The Four Winds Blow,1961,346731,3431,111029,65,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
76,5.736711756,Neil Sedaka,Stairway To Heaven,1960,780214,7962,68157,59,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
33,9.949031357,Neil Sedaka,Calendar Girl,1961,6665463,7962,68157,59,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
15,16.74093727,Neil Sedaka,Breaking Up Is Hard To Do,1962,6350083,7962,68157,59,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
78,5.63920084,Ray Charles,Georgia On My Mind,1960,203180,6315,872966,72,0,traditionalPop,0,0,0,0,0,0,0,0,0,0,0,0,1
19,14.32262507,Ray Charles,Hit The Road Jack,1961,34945564,6315,872966,72,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
60,6.705330284,Ray Charles,One Mint Julep,1961,333918,6315,872966,72,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
54,7.188199443,Ray Charles,You Don't Know Me,1962,5666493,6315,872966,72,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
80,5.545754095,Ray Charles,Here We Go Again,1967,10222548,6315,872966,72,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
79,5.59198657,Skip and Flip,Cherry Pie,1960,21703,429,58,21,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
82,5.456106733,Lloyd Price,Lady Luck,1960,447560,1034,12972,46,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
83,5.412631479,The Crests,Step By Step,1960,160505,1839,6597,43,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
84,5.370017132,Paul Evans,Happy-Go-Lucky Me,1960,315970,336,360,31,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
85,5.328236693,Ricky Nelson,Young Emotions,1960,197454,4885,61434,56,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
23,12.62582101,Ricky Nelson,Travelin' Man,1961,3426713,4885,61434,56,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
49,7.664266318,Ricky Nelson,Hello Mary Lou,1961,5626492,4885,61434,56,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
43,8.35431448,Ricky Nelson,Young World,1962,347455,4885,61434,56,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
77,5.687430745,Ricky Nelson,Teen Age Idol,1962,410663,4885,61434,56,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
61,6.632577127,Ricky Nelson,Fools Rush In,1963,528037,4885,61434,56,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
65,6.360293906,Ricky Nelson,For You,1964,91338,4885,61434,56,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
