Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,Prediction,Error,Grammy,GenreRaw,Genre,beat,country,easyListening,folkORfunk,instrumental,jazz,pop,popRock,r&b,rock,rockabilly,sunshinePop,traditionalPop
16.0,0.935159938,The Box Tops,Cry Like A Baby,1.209867168,13.32867974,-0.003528243,0.016876393,0.11508077300000001,14.28935404,-0.9606743000000001,0.0,,popRock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43.0,-0.134644664,Skeeter Davis,I Can't Stay Mad at You,-0.527070846,12.55332584,-0.082873124,-0.190943755,-0.095340446,13.51752261,-0.9641967659999999,0.0,country,country,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.057629209,Sergio Mendes and Brasil '66,The Look Of Love,1.209867168,13.94952034,-0.14025986699999998,0.11512903199999999,0.220291383,14.91473038,-0.965210047,0.0,,jazz,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,-0.909596623,Sandy Posey,I Take It Back,0.862479565,11.39657141,-0.7036875770000001,-0.9033075079999999,-1.042235931,12.36696292,-0.970391511,0.0,,country,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.9965432630000002,Brenda Lee,I'm Sorry,-1.569233654,15.02928764,0.249923505,0.34046055299999994,1.114581563,16.00438161,-0.975093969,0.0,"pop, country",country,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,-0.056384412,Ace Cannon,Tuff,-0.8744584479999999,10.41247148,-1.665564414,-1.287143406,-1.25265715,11.39149658,-0.979025094,0.0,,rockabilly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85.0,-0.8720623909999999,Paul Anka,"Tonight My Love, Tonight",-1.221846051,12.73582404,0.24203672399999998,0.55695192,0.74634443,13.72388078,-0.9880567379999999,0.0,,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.32958372399999997,The Supremes,Love Is Here And Now You're Gone,0.862479565,14.15393303,0.900444817,1.080845887,1.009370954,15.14332938,-0.9893963440000001,0.0,"baroque pop, soul",pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,-0.109181641,The Outsiders,Time Won't Let Me,0.5150919629999999,12.24009719,0.149016146,-0.9383115670000001,-0.989630627,13.23812615,-0.998028962,0.0,"baroque rock, baroque pop",rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.0,0.027979997000000003,Smokey Robinson and The Miracles,"Baby, Baby Don't Cry",1.557254771,13.79471073,1.002303195,0.895739513,0.641133821,14.8022522,-1.007541469,0.0,soul/pop,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,-0.564988752,The Dells,Stay In My Corner,1.209867168,13.50135993,-0.5116953089999999,0.321717661,-0.200551055,14.50942783,-1.008067905,0.0,,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
60.0,-0.495149777,The Four Preps,Down By The Station,-1.569233654,10.07386304,-0.688542502,-1.0733891709999999,-1.410473065,11.08612381,-1.0122607670000001,0.0,,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.1853829730000003,The Association,Cherish,0.5150919629999999,14.07319698,0.628787561,0.115275509,-0.042735141,15.08812843,-1.014931457,0.0,"country, folk, pop",pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.8695563040000001,Connie Francis,My Heart Has A Mind Of Its Own,-1.569233654,12.80915561,0.81449512,0.35635521600000003,0.325501992,13.82484276,-1.0156871440000002,0.0,pop,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.452219928,The Four Seasons,Dawn (Go Away),-0.17968324300000002,14.71201033,0.7390038940000001,0.733967886,0.85155504,15.74301705,-1.0310067109999999,0.0,rock,rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47.0,-0.23089727699999998,B. J. Thomas,I'm So Lonesome I Could Cry,0.5150919629999999,11.09477018,-0.572675985,0.10345297099999999,-1.620894284,12.12646649,-1.031696315,0.0,r&b,country,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.6852342830000002,Herman's Hermits,Can't You Hear My Heartbeat,0.16770436,13.29548104,0.042205585,0.390785661,0.220291383,14.32822553,-1.032744493,0.0,pop,popRock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11.0,1.340626413,Barbra Streisand,People,-0.17968324300000002,13.90784905,1.4555750180000002,0.882732045,0.956765649,14.94517053,-1.037321474,1.0,"pop, r&b",easyListening,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,-0.207624799,Roy Orbison,Mean Woman Blues,-0.527070846,13.47300757,1.415170101,0.985743316,1.0619762590000001,14.514652800000002,-1.041645227,0.0,rockabilly,rockabilly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32.0,0.185085592,The Serendipity Singers,Don't Let the Rain Come Down (Crooked Little Man),-0.17968324300000002,10.39160734,0.049618892000000005,-1.382797325,-2.041736722,11.44037572,-1.048768382,0.0,pop,folkORfunk,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,-0.969397945,Bobby Rydell,I'll Never Dance Again,-0.8744584479999999,11.24776128,-0.577121187,-0.278805992,-0.35836697,12.30063007,-1.0528687890000001,0.0,pop,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,-0.992422824,Gary Lewis and The Playboys,Sealed With A Kiss,1.209867168,11.71652731,-0.667735947,-0.09194168800000001,-0.41097227399999997,12.77161367,-1.055086356,0.0,"pop rock, surf",pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1.829732414,Sly and The Family Stone,Hot Fun In The Summertime,1.557254771,15.09751772,0.839393244,0.85460461,0.798949735,16.15595384,-1.058436126,0.0,"psychedelic soul, funk",folkORfunk,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,-0.765098492,Dionne Warwick,Message To Michael,0.5150919629999999,12.69283813,1.24656109,0.73698253,0.641133821,13.751296100000001,-1.058457972,0.0,"soul, pop",easyListening,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.254924568,Eydie Gorme,Blame It On The Bossa Nova,-0.527070846,11.42719327,-0.10758959,-0.20491266800000002,0.11508077300000001,12.48667756,-1.059484295,0.0,car song,traditionalPop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47.0,-0.23089727699999998,Watts 103rd Street Rhythm Band,Do Your Thing,1.557254771,12.90115296,-0.252531011,-0.491449564,-0.147945751,13.96081884,-1.059665888,0.0,pop rock,folkORfunk,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,-0.15952227800000002,Dionne Warwick,Alfie,0.862479565,13.35527031,1.24656109,0.73698253,0.641133821,14.41747134,-1.0622010309999999,1.0,"soul, pop, adult contemporary",pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.807703554,Johnny Tillotson,It Keeps Right On a-Hurtin',-0.8744584479999999,12.40953172,-0.407011894,-0.31366087800000003,-0.095340446,13.49418075,-1.084649032,0.0,pop,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,-0.53063258,The Rolling Stones,19th Nervous Breakdown,0.5150919629999999,15.48640663,1.847363006,1.898656782,1.74584522,16.576189499999998,-1.089782877,0.0,"psychedelic rock, raga rock",rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,2.435308628,The Rolling Stones,Honky Tonk Women,1.557254771,17.25476676,1.847363006,1.898656782,1.74584522,18.34571946,-1.090952702,0.0,"hard rock, blues rock, rock and roll",rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14.0,1.0796580690000002,Stevie Wonder,I Was Made To Love Her,0.862479565,16.29525072,0.888658293,1.675538705,1.588029306,17.39043229,-1.0951815679999999,0.0,soul,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
77.0,-0.765098492,Paul Anka,My Home Town,-1.569233654,12.57647691,0.24203672399999998,0.55695192,0.74634443,13.67669418,-1.100217274,0.0,,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.746617609,Dee Dee Sharp,Mashed Potato Time,-0.8744584479999999,13.55556686,-1.198137496,-0.625925408,-0.673998798,14.66387337,-1.108306513,0.0,easy listening,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,2.746617609,Bobby Gentry,Ode To Billie Joe,0.862479565,12.04940714,-0.039836567,-1.127477071,-1.936526112,13.15926571,-1.109858567,1.0,,country,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.935457318,Sam the Sham and the Pharaohs,Wooly Bully,0.16770436,14.92084321,-0.525100704,-0.425359279,-0.25315636,16.03515923,-1.11431602,0.0,,rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,-1.014967985,Tommy James and The Shondells,Mirage,0.862479565,12.3340788,-0.319477093,0.242324951,0.27289668699999997,13.44839803,-1.1143192259999999,0.0,,popRock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22.0,0.5905520679999999,Petula Clark,My Love,0.5150919629999999,12.88422547,0.7874407840000001,0.24784581100000003,0.11508077300000001,14.00681403,-1.122588555,1.0,pop,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.027979997000000003,The Happenings,I Got Rhythm,0.862479565,11.61406408,-1.2101850570000001,-0.7888469920000001,-0.7792094079999999,12.74407164,-1.130007558,0.0,pop,instrumental,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.027979997000000003,Johnny Tillotson,Without You,-1.221846051,11.89420033,-0.407011894,-0.31366087800000003,-0.095340446,13.02552424,-1.131323907,1.0,,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,-0.736619782,Joe Simon,Chokin' Kind,1.557254771,12.87479649,0.283364574,-0.211992067,-0.46357757899999996,14.01131705,-1.136520557,0.0,"rock, pop rock",r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66.0,-0.5982876420000001,The Echoes,Baby Blue,-1.221846051,10.30122286,0.22222182199999999,-0.7378273190000001,-0.7792094079999999,11.43803354,-1.136810681,0.0,"rock & roll, r&b",beat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,-0.45846394,Lonnie Mack,"Memphis, Tennessee",-0.527070846,10.85282614,1.366626399,-0.543727031,-0.726604103,11.99215262,-1.13932648,0.0,pop,rockabilly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83.0,-0.8462962079999999,The Crests,Step By Step,-1.569233654,11.98608037,-0.060334509,-0.486166531,-0.41097227399999997,13.12931252,-1.143232148,0.0,,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56.0,-0.42049062200000004,Ral Donner,You Don't Know What You've Got (Until You Lose It),-1.221846051,10.71477326,-1.487702808,-1.415335639,-1.673499588,11.85933453,-1.144561265,0.0,"pop, country",rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
