,Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Year_awards,Awards,Artist_award,awardscore
804,92,5.057082445,Slim Harpo,Baby Scratch My Back,1966,387232,1856,,,,
265,67,6.234342105,Buzz Clifford,Baby Sittin' Boogie,1961,91330,544,,,,
684,53,7.277428145,Glenn Yarbrough,Baby the Rain Must Fall,1965,115695,748,,,,
106,71,6.000251993,Jackie Wilson,Baby Workout,1963,563065,4542,,,,
957,37,9.225435188,Smokey Robinson and The Miracles,"Baby, Baby Don't Cry",1969,979415,5609,,,,
985,28,11.08857401,Andy Kim,"Baby, I Love You",1969,1554,1004,,,,
509,37,9.225435188,The Supremes,Back in My Arms Again,1965,2866058,5042,,,,
964,24,12.27610461,Creedence Clearwater Revival,Bad Moon Rising,1969,115917311,4772,,,,
524,97,4.883493965,Billy J. Kramer and The Dakotas,Bad to Me,1964,1302962,1328,,,,
714,1,100,SSgt Barry Sadler,Ballad of the Green Berets,1966,956352,1513,,,,
706,60,6.705330284,Cher,Bang Bang (My Baby Shot Me Down),1966,1284773,12651,,,,
387,79,5.59198657,The Beach Boys,Barbara Ann,1966,11933298,15103,,,,
778,58,6.857053284,Robert Parker,Barefootin',1966,711657,215,,,,
441,45,8.107365283,The Ronettes,Be My Baby,1963,56249804,4527,,,,
177,90,5.130975533,Johnny and The Hurricanes,Beatnik Fly,1960,6058,708,,,,
584,65,6.360293906,The Temptations,Beauty Is Only Skin Deep,1966,2352110,9519,,,,
528,63,6.49284802,The Dave Clark Five,Because,1964,233636,1911,,,,
109,37,9.225435188,Duane Eddy,Because They're Young,1960,293238,1636,,,,
966,98,4.850547815,The American Breed,"Bend Me, Shape Me",1968,849143,945,,,,
617,82,5.456106733,Four Tops,Bernadette,1967,2636926,3598,,,,
97,32,10.15315495,Bobby Darin,Beyond The Sea,1960,25328489,3031,,,,
803,89,5.168953147,Los Bravos,Black Is Black,1966,5988974,562,,,,
998,66,6.296526022,"Sonny Charles and The Checkmates, Ltd.",Black Pearl,1969,145877,229,,,,
426,30,10.59497587,Eydie Gorme,Blame It On The Bossa Nova,1963,91784,1750,,,,
269,73,5.891242669,Tony Orlando,Bless You,1961,73268,2129,,,,
232,40,8.762749681,Marcels,Blue Moon,1961,6629781,302,,,,
286,52,7.369496097,Bobby Vinton,Blue on Blue,1963,862958,1732,,,,
285,6,30.6492728,Bobby Vinton,Blue Velvet,1963,8522784,1732,,,,
759,37,9.225435188,Sandy Posey,Born a Woman,1966,7920,936,,,,
727,12,19.39725958,Roger Williams,Born Free,1966,67131,5121,,,,
920,31,10.36815025,Steppenwolf,Born To Be Wild,1968,75422669,2216,,,,
31,95,4.951108236,Elvis Presley,Bossa Nova Baby,1963,1003366,19509,,,,
945,63,6.49284802,The Fireballs,Bottle Of Wine,1968,239392,673,,,,
531,26,11.64441273,The Newbeats,Bread and Butter,1964,469577,566,,,,
48,80,5.545754095,Connie Francis,Breakin' In A Brand New Broken Heart,1961,184122,4607,,,,
153,15,16.74093727,Neil Sedaka,Breaking Up Is Hard To Do,1962,6350083,7962,,,,
210,22,13.00172664,The Dovells,Bristol Stomp,1961,310096,591,,,,
850,35,9.570069478,Van Morrison,Brown Eyed Girl,1967,179465009,11331,,,,
954,9,23.45308318,The Foundations,Build Me Up Buttercup,1969,28832177,3982,,,,
58,35,9.570069478,Jack Scott,Burning Bridges,1960,123257,551,,,,
764,45,8.107365283,The Hollies,Bus Stop,1966,14087286,5105,,,,
958,86,5.287264321,The Mills Brothers,Cab Driver,1968,258073,1761,,,,
199,11,20.54380234,Lawrence Welk,Calcutta,1961,220024,3370,,,,
152,33,9.949031357,Neil Sedaka,Calendar Girl,1961,6665463,7962,,,,
725,10,21.87761624,The Mamas and The Papas,California Dreamin',1966,86019253,5544,,,,
384,49,7.664266318,The Beach Boys,California Girls,1965,15339865,15103,,,,
410,61,6.632577127,Lesley Gore,California Nights,1967,187214,1455,,,,
