,Rank,RankPowerlaw,Artist_x,Title,Year_x,SpotifyPlayCount,WikiWordCount,GrammyAwards,Year_y,Awards,Artist_y
29,57,6.936215781,Elvis Presley,Can't Help Falling In Love,1962,105024049,19509,,,,
30,69,6.114481004,Elvis Presley,(You're the) Devil in Disguise,1963,16593049,19509,,,,
31,95,4.951108236,Elvis Presley,Bossa Nova Baby,1963,1003366,19509,,,,
32,9,23.45308318,Elvis Presley,Crying in the Chapel,1965,4109700,19509,,,,
33,18,14.84294734,Elvis Presley,Suspicious Minds,1969,76262262,19509,,,,
34,35,9.570069478,Elvis Presley,In The Ghetto,1969,43512214,19509,,,,
35,8,25.34898699,Jimmy Jones,Handy Man,1960,564091,461,,,,
36,31,10.36815025,Jimmy Jones,Good Timin',1960,616177,461,,,,
37,10,21.87761624,Chubby Checker,The Twist,1960,15600003,1911,,,,
38,7,27.68441135,Chubby Checker,Pony Time,1961,395079,1911,,,,
39,70,6.056689273,Chubby Checker,The Fly,1961,80384,1911,,,,
41,9,23.45308318,Chubby Checker,The Twist,1962,15615387,1911,,,,
42,17,15.41358678,Chubby Checker,Slow Twistin',1962,284087,1911,,,,
43,11,20.54380234,Connie Francis,Everybody's Somebody's Fool,1960,2306079,4607,,,,
44,17,15.41358678,Connie Francis,My Heart Has A Mind Of Its Own,1960,365549,4607,,,,
45,68,6.173680038,Connie Francis,Mama,1960,279627,4607,,,,
46,73,5.891242669,Connie Francis,Among My Souvenirs,1960,1725415,4607,,,,
47,18,14.84294734,Connie Francis,Where The Boys Are,1961,1961350,4607,,,,
48,80,5.545754095,Connie Francis,Breakin' In A Brand New Broken Heart,1961,184122,4607,,,,
49,31,10.36815025,Connie Francis,Don't Break The Heart That Loves You,1962,259505,4607,,,,
50,12,19.39725958,Bobby Rydell,Wild One,1960,211513,1069,,,,
51,54,7.188199443,Bobby Rydell,Volare,1960,221099,1069,,,,
52,74,5.838577711,Bobby Rydell,Swingin' School,1960,73006,1069,,,,
53,96,4.917008807,Bobby Rydell,Little Bitty Girl,1960,98402,1069,,,,
54,87,5.247075258,Bobby Rydell,Good Time Baby,1961,58354,1069,,,,
55,93,5.021127552,Bobby Rydell,I'll Never Dance Again,1962,76708,1069,,,,
56,13,18.39913422,Brothers Four,Greenfields,1960,880380,693,,,,
57,14,17.52086311,Jack Scott,What In The World's Come Over You,1960,192575,551,,,,
58,35,9.570069478,Jack Scott,Burning Bridges,1960,123257,551,,,,
60,28,11.08857401,Marty Robbins,Don't Worry,1961,321791,1930,,,,
61,16,16.04282372,Hollywood Argyles,Alley Oop,1960,218008,564,,,,
62,19,14.32262507,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,3452011,1193,,,,
63,29,10.83471074,Brian Hyland,Sealed With A Kiss,1962,3465190,1193,,,,
64,20,13.84586851,Roy Orbison,Only The Lonely,1960,15956833,8654,,,,
67,13,18.39913422,Roy Orbison,Running Scared,1961,2391967,8654,,,,
68,65,6.360293906,Roy Orbison,Dream Baby (How Long Must I Dream),1962,1882078,8654,,,,
69,46,7.990608098,Roy Orbison,Mean Woman Blues,1963,709991,8654,,,,
70,59,6.780124557,Roy Orbison,In Dreams,1963,11402194,8654,,,,
71,4,40.05349388,Roy Orbison,"Oh, Pretty Woman",1964,61232906,8654,,,,
72,73,5.891242669,Roy Orbison,It's Over,1964,1783252,8654,,,,
73,21,13.40711287,Dion and The Belmonts,Where Or When,1960,799005,1659,,,,
74,22,13.00172664,Connie Stevens,Sixteen Reasons,1960,272674,1189,,,,
75,23,12.62582101,Paul Anka,Puppy Love,1960,1666967,2526,,,,
76,66,6.296526022,Paul Anka,It's Time To Cry,1960,109090,2526,,,,
77,77,5.687430745,Paul Anka,My Home Town,1960,289664,2526,,,,
78,85,5.328236693,Paul Anka,"Tonight My Love, Tonight",1961,339702,2526,,,,
79,76,5.736711756,Paul Anka,Love Me Warm And Tender,1962,831928,2526,,,,
81,25,11.94977132,The Ventures,"Walk, Don't Run",1960,4127116,2678,,,,
82,90,5.130975533,The Ventures,"Walk, Don't Run '64",1964,62271,2678,,,,
83,58,6.857053284,The Ventures,Hawaii Five-O,1969,2718842,2678,,,,
84,26,11.64441273,The Drifters,Save The Last Dance For Me,1960,11458687,4140,,,,
85,100,4.786300923,The Drifters,Please Stay,1961,374740,4140,,,,
86,75,5.787081068,The Drifters,Up on the Roof,1963,5920655,4140,,,,
87,20,13.84586851,The Drifters,Under the Boardwalk,1964,26552965,4140,,,,
88,27,11.35794904,Dinah Washington and Brook Benton,Baby (You've Got What It Takes),1960,5561544,1481,,,,
89,75,5.787081068,Dinah Washington and Brook Benton,A Rockin' Good Way,1960,881349,1481,,,,
90,28,11.08857401,Johnny Horton,Sink The Bismark,1960,1971530,1545,,,,
91,29,10.83471074,Sam Cooke,Chain Gang,1960,21685399,2895,,,,
92,80,5.545754095,Sam Cooke,Wonderful World,1960,93708300,2895,,,,
93,23,12.62582101,Sam Cooke,Twistin' The Night Away,1962,12685198,2895,,,,
94,52,7.369496097,Sam Cooke,Having A Party,1962,3377142,2895,,,,
95,67,6.234342105,Sam Cooke,Little Red Rooster,1963,1246121,2895,,,,
96,88,5.207645782,Sam Cooke,Another Saturday Night,1963,5407127,2895,,,,
97,66,6.296526022,Sam Cooke,Shake,1965,608036,2895,,,,
98,32,10.15315495,Bobby Darin,Beyond The Sea,1960,25328489,3031,,,,
99,99,4.818155049,Bobby Darin,You Must Have Been A Beautiful Baby,1961,318504,3031,,,,
100,62,6.561777272,Bobby Darin,Things,1962,800658,3031,,,,
101,23,12.62582101,Bobby Darin,You're The Reason I'm Living,1963,30498,3031,,,,
103,33,9.949031357,Jimmy Clanton,Go Jimmy Go,1960,37469,565,,,,
104,75,5.787081068,Jimmy Clanton,Venus In Blue Jeans,1962,143310,565,,,,
109,95,4.951108236,Jackie Wilson,Doggin' Around,1960,449692,4542,,,,
110,71,6.000251993,Jackie Wilson,Baby Workout,1963,563065,4542,,,,
111,53,7.277428145,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1967,47272819,4542,,,,
112,36,9.393779234,Toni Fisher,The Big Hurt,1960,23972,339,,,,
113,37,9.225435188,Duane Eddy,Because They're Young,1960,293238,1636,,,,
114,38,9.064478563,Conway Twitty,Lonely Blue Boy,1960,756676,3103,,,,
115,39,8.910403258,Steve Lawrence,Pretty Blue Eyes,1960,201888,1304,,,,
116,69,6.114481004,Steve Lawrence,Footsteps,1960,152385,1304,,,,
